@relation USER13
@attribute a0 {1033.3, 534.6, 499.7, 469.6, 444.5, 451.6, 463.6, 446.6, 438.4, 568.7, 549.7, 516.7, 472.5, 502.7, 532.7, 620.8, 525.8, 585.8, 550.7, 586.7, 554.7, 537.5, 515.6, 596.8, 540.7, 498.7, 481.7, 819.1, 716.7, 700.9, 611.6, 553.8, 691.8, 673.8, 641.7, 681.9, 645.7, 644.7, 613.7}
@attribute a1 integer [2, 7]
@attribute a2 integer [71, 125]
@attribute a3 real [11.6787185324967, 614.018001830337]
@attribute a4 real [44.4052229157899, 97.4309838461825]
@attribute a5 real [0.157857736149488, 0.213578155270502]
@attribute a6 integer [16, 33]
@attribute a7 real [8.48690590742353, 559.17411620453]
@attribute a8 real [28.1660193612868, 75.4866901872984]
@attribute a9 integer [17, 27]
@attribute a10 real [0.124321179208689, 0.229892761394102]
@attribute a11 real [1.81423082987742E-7, 7.71642906022955E-6]
@attribute a12 real [1.0, 1.0023100964805]
@attribute a13 real [-0.357537031658437, -0.00639244024458032]
@attribute a14 real [0.0, 0.0366868769910595]
@attribute a15 real [0.415353535353535, 0.822647793505412]
@attribute a16 real [0.659724554921062, 0.986137667304015]
@attribute a17 real [2.03729013906277E-4, 0.00212898368617295]
@attribute a18 real [6.00757616679969E-5, 9.39293259200768E-4]
@attribute a19 real [6.93119132875254, 8.80930656934307]
@attribute a20 real [1.48589702788509E-7, 8.20387433423498E-6]
@attribute a21 real [-0.584646464646465, -0.177352206494588]
@attribute a22 real [0.671959879396649, 0.856901096811433]
@attribute a23 real [-0.340275445078939, -0.0138623326959847]
@attribute a24 real [0.642462968341563, 0.99360755975542]
@attribute a25 real [1.0, 1.0023100964805]
@attribute a26 integer [24, 177]
@attribute a27 real [-1.0023100964805, -0.96331312300894]
@attribute a28 real [4.53670019259576E-4, 5.70761722894123E-4]
@attribute a29 integer [26, 112]
@attribute a30 real [0.268447688089061, 0.313378345770423]
@attribute a31 real [792.324107229265, 16621.3671450737]
@attribute a32 real [0.573130089451943, 0.851690713603849]
@attribute a33 real [2.74845648277236E-4, 4.44548432381844E-4]
@attribute a34 real [4.38690348812326E-4, 5.17030139671649E-4]
@attribute a35 real [3.83970957833008E-4, 4.6882436934793E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
499.7, 4, 75, 175.278458776215, 64.611378936391, 0.184285709549364, 18, 123.359427763852, 39.30027828626, 19, 0.150290174104463, 3.37943653864354E-6, 1.0, -0.224450194049159, 0.00219922380336352, 0.588416988416988, 0.906177606177606, 0.00154979132939739, 5.19270316059411E-4, 8.48909345607365, 7.27878639092455E-6, -0.411583011583012, 0.786151420784821, -0.0938223938223938, 0.775549805950841, 1.0, 40, -0.997800776196636, 5.23338048090523E-4, 38, 0.30958272606489, 1643.45827496498, 0.697256965009465, 3.93682225365394E-4, 4.80905233380481E-4, 4.40829797265441E-4, 1
446.6, 4, 75, 316.366417623568, 78.7464291169663, 0.174536705444374, 20, 65.423351297669, 45.463665705462, 18, 0.148007165248545, 5.75614751538069E-6, 1.0, -0.205979155238618, 0.00233132199670872, 0.629995879686856, 0.744540585084466, 0.0014895282774669, 4.95760440127835E-4, 8.62740707568294, 4.32374214288964E-6, -0.370004120313144, 0.766509657713505, -0.255459414915534, 0.794020844761382, 1.0, 35, -0.997668678003291, 5.21671424863743E-4, 27, 0.310418174504291, 1846.72010747873, 0.681101680235579, 4.02283934596418E-4, 5.03503763301324E-4, 4.41214637944459E-4, 1
469.6, 4, 71, 20.7071134153591, 67.9129981710529, 0.178855026311372, 16, 19.2476609178827, 45.6101287374783, 17, 0.136499148211244, 5.70776555638405E-6, 1.0023100964805, -0.241880690311184, 0.0, 0.532722513089005, 0.807591623036649, 0.00171009835891411, 5.31391735172336E-4, 8.75638841567291, 5.12471423610826E-6, -0.467277486910995, 0.75887804469809, -0.192408376963351, 0.760429406169317, 1.0023100964805, 43, -1.0023100964805, 5.32587548638132E-4, 26, 0.298952248278314, 1759.09731686542, 0.692674973189762, 3.74513618677043E-4, 5.13132295719844E-4, 4.35311284046693E-4, 1
568.7, 4, 91, 224.986735301386, 57.7079647201855, 0.167241090460379, 30, 293.830099460138, 45.7452505601169, 19, 0.142605943379638, 3.33688300678787E-7, 1.0, -0.20295885344429, 0.00231160425335183, 0.581459385039009, 0.832033042680128, 4.74753153846878E-4, 1.59421655452666E-4, 8.51767188324248, 4.18746102812595E-7, -0.418540614960991, 0.818872702326428, -0.167966957319871, 0.79704114655571, 1.0, 85, -0.997688395746648, 4.66556564822461E-4, 44, 0.311780794551255, 6165.91243186214, 0.715987176806746, 3.7159372419488E-4, 5.01651527663088E-4, 4.21139554087531E-4, 1
549.7, 5, 85, 270.864600028901, 70.7185016528179, 0.173636777285247, 24, 282.003673158504, 51.7174658717382, 19, 0.132981626341641, 3.38740752412032E-7, 1.0, -0.0234825597363362, 0.00439439714364186, 0.562869822485207, 0.968195266272189, 3.80386823318783E-4, 1.41247730054105E-4, 8.24449699836274, 3.60248101771526E-7, -0.437130177514793, 0.7780404119684, -0.0318047337278107, 0.976517440263664, 1.0, 50, -0.995605602856358, 4.83230361871139E-4, 45, 0.313378345770423, 6380.84573403675, 0.687217156410644, 4.19240953221536E-4, 4.83230361871139E-4, 4.3027360988526E-4, 1
516.7, 4, 79, 18.8839308588286, 62.9324837337947, 0.161625186069641, 20, 17.2473643279396, 42.9869099677669, 20, 0.151151538610412, 1.19783277595021E-6, 1.0, -0.211530368915696, 0.00953850469911629, 0.499619771863118, 0.803802281368821, 3.67459570582998E-4, 1.35561603399254E-4, 8.5794464873234, 1.40648751756734E-6, -0.500380228136882, 0.759555162639121, -0.196197718631179, 0.788469631084304, 1.0, 36, -0.990461495300884, 4.91766298217911E-4, 27, 0.303471270675428, 6790.00793497194, 0.710422669122964, 4.39882697947214E-4, 4.94022106925333E-4, 4.57929167606587E-4, 1
472.5, 4, 75, 125.426345884011, 70.4247167743549, 0.181935683572945, 19, 559.17411620453, 75.4866901872984, 18, 0.146243386243386, 1.81423082987742E-7, 1.0, -0.220578066657447, 0.00608491218365371, 0.592320966350302, 0.946505608283003, 3.96065843863023E-4, 1.26964545163115E-4, 8.63703703703704, 8.99858491619198E-7, -0.407679033649698, 0.763322707320629, -0.0534943917169974, 0.779421933342553, 1.0, 24, -0.993915087816346, 5.26831658907131E-4, 26, 0.301218168563532, 7426.59682539683, 0.676606818212744, 4.26366086743445E-4, 5.17030139671649E-4, 4.31266846361186E-4, 1
532.7, 4, 73, 365.818525254755, 71.167396306744, 0.172105021824961, 17, 368.973070176936, 55.7137047446328, 19, 0.178524497841186, 2.59568041276578E-7, 1.0, -0.227216152675978, 0.00649979255981192, 0.562921794362842, 0.954743946010322, 3.72541450460376E-4, 1.29778995119581E-4, 8.07959451849071, 2.62695367075091E-7, -0.437078205637158, 0.799650073839673, -0.0452560539896784, 0.772783847324022, 1.0, 40, -0.993500207440188, 5.08828996282528E-4, 37, 0.298900898567321, 6589.87798010137, 0.702529983366891, 4.11245353159851E-4, 4.87918215613383E-4, 4.39126394052045E-4, 1
620.8, 5, 80, 85.086439786825, 51.0739359070632, 0.19138028354474, 20, 66.713906457839, 37.2089036925528, 18, 0.127416237113402, 1.61668853629659E-6, 1.0, -0.00639244024458032, 0.0127848804891606, 0.648895292987512, 0.958693563880884, 5.31253792322576E-4, 1.53706280658088E-4, 7.9284793814433, 1.07009384069155E-6, -0.351104707012488, 0.770000158665413, -0.0413064361191162, 0.99360755975542, 1.0, 54, -0.987215119510839, 4.81511580658269E-4, 63, 0.307394320859126, 5655.8587306701, 0.671061882724276, 4.18529053230394E-4, 4.61194636326696E-4, 4.20560747663551E-4, 1
550.7, 4, 83, 221.14181397283, 59.3466415769415, 0.166994560072946, 20, 170.288325582869, 41.2676376381127, 21, 0.149082985291447, 5.59688906877393E-7, 1.0, -0.214467174755983, 0.00949324776039578, 0.548414738646101, 0.932733504712939, 4.19440554659607E-4, 1.30896410559637E-4, 8.35845287815508, 4.62351705681325E-7, -0.451585261353899, 0.747005030154922, -0.0672664952870608, 0.785532825244017, 1.0, 58, -0.990506752239604, 4.64914186400174E-4, 39, 0.300606025054733, 6380.02070092609, 0.709584851675392, 4.23636758635672E-4, 4.84466652183359E-4, 4.45361720616989E-4, 1
