@relation USER16
@attribute a0{﻿668.9,641.8,666,716.9,704,719,625.9,768,774,781.1,663.9,667.9,636.8,682.9,706,689.9,772.1,708,701,816.1,773.1,873.2,942.1,810.1,929.2,939.3,841.1,861.2,660.7,789.2,738,744,683.6,672.7,799.2,872.1,817.1,803.2,808.1,847.2}
@attribute a1 integer[3,10]
@attribute a2 integer[90,138]
@attribute a3 real[20.1123333363582,904.584641907907]
@attribute a4 real[61.2488880170813,146.374986135802]
@attribute a5 real[0.162968052735717,0.222176871367978]
@attribute a6 integer[24,45]
@attribute a7 real[16.0972979967891,825.409124399434]
@attribute a8 real[43.2240578863956,119.460723199441]
@attribute a9 integer[18,28]
@attribute a10 real[0.0263311878291398,0.0902152152152152]
@attribute a11 real[1.04685579447298E-7,0.0101946994873017]
@attribute a12 real[1.0,1.02002645002834]
@attribute a13 real[-0.275693766559755,-0.045618413754853]
@attribute a14 real[0.0512788829852959,0.114262948207171]
@attribute a15 real[0.402746464439434,0.974799541809851]
@attribute a16 real[0.94579945799458,1.02002645002834]
@attribute a17 real[1.12873034666993E-4,2.80541443441268]
@attribute a18 real[8.59853930755877E-5,1.68078628115009]
@attribute a19 real[5.80933709104276,8.83843595917899]
@attribute a20 real[1.0214780782906E-7,0.00690880461122925]
@attribute a21 real[-0.606066816970691,-0.0252004581901489]
@attribute a22 real[0.799627180582486,1.71955179304071]
@attribute a23 real[-0.0542005420054201,0.0]
@attribute a24 real[0.724306233440245,0.954381586245147]
@attribute a25 real[0.980366734580478,1.00670322973796]
@attribute a26 integer[40,148]
@attribute a27 real[-0.948721117014704,-0.885737051792829]
@attribute a28 real[4.32018681888947E-4,5.65937940761636E-4]
@attribute a29 integer[15,123]
@attribute a30 real[0.299536931245463,0.345003087151581]
@attribute a31 real[0.456732634846721,10759.7367943091]
@attribute a32 real[0.404849795350992,0.763730874154301]
@attribute a33 real[3.50280564529842E-4,4.56296897181099E-4]
@attribute a34 real[3.5526138052141E-4,4.51772464962902E-4]
@attribute a35 real[4.94394164527894E-4,5.92841163310962E-4]
@attribute a36 integer[1,2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
﻿668.9,6,102,35.1779098652655,115.978126837814,0.219668838527632,28,33.5175388282232,82.2080481812308,19,0.0360293018388399,2.28245573425338E-6,1.0,-0.275693766559755,0.068191326174871,0.44588285229202,0.999363327674024,7.86558853144108E-4,5.16840791523503E-4,7.44655404395276,2.12594448390457E-6,-0.55411714770798,0.812093079051345,-6.36672325976231E-4,0.724306233440245,1.0,61,-0.931808673825129,4.75808070668541E-4,20,0.341438514629684,1582.03154432651,0.545728533906787,4.17586829953825E-4,4.03533427022686E-4,5.72174262196346E-4,1
641.8,6,115,45.690780964899,130.59107018161,0.221812152556871,36,43.2633624735245,90.0156581378409,21,0.0420691804300405,1.88614950759685E-6,1.0,-0.263333797521237,0.0970616905723437,0.467631527478975,0.993937023274007,6.85388292418277E-4,4.88008681121661E-4,7.29199127454036,1.84433831161564E-6,-0.532368472521025,0.829684543889941,-0.00606297672599257,0.736666202478763,1.0,62,-0.902938309427656,4.63675213675214E-4,21,0.340013799173418,1651.12496104706,0.544040501746232,4.16666666666667E-4,3.86752136752137E-4,5.81196581196581E-4,1
666,6,104,581.906254046,146.374986135802,0.207028221481694,29,426.124449594772,99.440016673604,21,0.0391891891891892,2.04020424095266E-6,1.0,-0.234897518878101,0.087108953613808,0.470688998858013,0.999238675295013,6.79471888163395E-4,4.81384209871963E-4,7.12012012012012,1.87739492496641E-6,-0.529311001141987,0.845047252829301,-7.61324704986677E-4,0.765102481121899,1.0,56,-0.912891046386192,4.87136229439055E-4,21,0.334963720559736,1592.55315315315,0.585877395753664,4.09110080134964E-4,4.04892450442851E-4,5.65162378743146E-4,1
716.9,7,107,35.8409784529547,111.807751289386,0.200779226482138,33,31.5978952173952,77.4518362956045,20,0.039057051192635,1.97077062290521E-6,1.0,-0.236624379481522,0.0779095421952565,0.431581019885804,1.0,7.09840614106684E-4,4.971429232002E-4,6.64527828148975,2.35023577389939E-6,-0.568418980114196,0.799627180582486,0.0,0.763375620518478,1.0,40,-0.922090457804744,5.01679261125105E-4,16,0.342182440008205,1481.89691728275,0.526777970511709,4.32409739714526E-4,4.24013434089001E-4,5.60453400503778E-4,1
704,7,107,875.893599723419,145.843781986605,0.207882785543022,34,825.409124399434,119.460723199441,20,0.0426136363636364,3.60792540189975E-7,1.00020354162426,-0.0704245553643144,0.0757314974182444,0.67229798493792,1.00020354162426,7.38886088554628E-4,5.20781158800551E-4,7.07670454545455,6.07334109319792E-7,-0.327905556686342,0.826128286595416,0.0,0.929575444635686,0.9997964997965,71,-0.924268502581756,4.8775592131674E-4,22,0.337194396870988,1511.88877840909,0.565076593064222,3.87394620634283E-4,3.97430750702529E-4,5.76073865917302E-4,1
719,7,111,904.584641907907,142.483247763014,0.188382320747673,32,537.842184576269,93.4211496485502,22,0.0418636995827538,5.64991175355381E-7,1.00799220272904,-0.214733324049575,0.080629438796825,0.514814814814815,1.00799220272904,7.21846973332598E-4,5.19798175616608E-4,7.06815020862309,3.35382889480363E-7,-0.49317738791423,0.821213163487207,0.0,0.785266675950425,0.992071166118739,61,-0.919370561203175,4.76190476190476E-4,29,0.336688078929284,1484.73894297636,0.555611714413353,4.2306178669815E-4,4.11255411255411E-4,5.50964187327824E-4,1
625.9,9,109,49.6228930072374,117.287560289103,0.222176871367978,36,39.5486458717163,87.4397627807082,20,0.038504553443042,1.98686592751221E-6,1.0,-0.0800276434001382,0.0631651693158258,0.693693693693694,0.993135993135993,6.97244185913455E-4,4.49281602588601E-4,7.14171592906215,1.28934916572601E-6,-0.306306306306306,0.809380511318078,-0.00686400686400686,0.919972356599862,1.0,46,-0.936834830684174,4.7427293064877E-4,18,0.345003087151581,1707.27400543218,0.533420756041027,4.42953020134228E-4,3.87024608501119E-4,5.92841163310962E-4,1
768,5,113,44.6457092313185,107.679572954579,0.213594199717249,36,31.7985923023408,74.9566921639915,23,0.033984375,2.13041170524425E-6,1.0,-0.215017973638663,0.0798828385035282,0.486869970351546,0.999576450656501,8.27138435318816E-4,5.20003686802749E-4,6.91927083333333,2.55205568857385E-6,-0.513130029648454,0.807891895061065,-4.23549343498518E-4,0.784982026361337,1.0,73,-0.920117161496472,4.59164471208129E-4,35,0.336837122066826,1395.99466145833,0.564087075607855,4.19646217538577E-4,4.14000752728641E-4,5.36319156943922E-4,1
774,7,109,35.261096932111,106.971470027349,0.196926158991079,32,32.8231055602824,79.4878623389965,19,0.0361757105943152,2.20244416184453E-6,1.00881328141012,-0.252022315202232,0.0789400278940028,0.402746464439434,1.00881328141012,7.36961442935085E-4,5.05902959850278E-4,6.37080103359173,2.23591595761724E-6,-0.606066816970691,0.827694912269257,0.0,0.747977684797768,0.991263713937424,50,-0.921059972105997,4.56296897181099E-4,31,0.337870363125387,1388.04018087855,0.547792942295723,4.56296897181099E-4,4.03569255729061E-4,5.47556276617319E-4,1
781.1,8,113,325.114780168553,117.061744102695,0.199844211189321,34,287.164340811449,85.7240285337464,23,0.0308539239533991,2.60415148372696E-6,1.02002645002834,-0.0713795470144132,0.0889498970487303,0.683544303797468,1.02002645002834,6.87021369540557E-4,5.09159694461148E-4,6.16054282422225,2.35727473756324E-6,-0.336482146230871,0.81961252432871,0.0,0.928620452985587,0.980366734580478,60,-0.91105010295127,4.92518703241895E-4,39,0.335321473174639,1383.36704647292,0.521831774350825,4.05236907730673E-4,3.80299251870324E-4,5.61097256857855E-4,1
663.9,7,102,507.368809089198,116.516272825582,0.181118450402315,31,72.8983376606415,69.8501439168701,22,0.0406687754179846,7.33166368766195E-7,1.0,-0.255700609225413,0.0684073107049608,0.51045765168772,1.0,1.75612551272216E-4,1.47612360329597E-4,7.02515439072149,6.63595837423418E-7,-0.48954234831228,0.913750914629612,0.0,0.744299390774587,1.0,54,-0.931592689295039,5.03859348198971E-4,28,0.333266290375509,6593.74694984184,0.465237342476114,3.98799313893654E-4,4.18096054888508E-4,5.40308747855918E-4,1
667.9,8,95,539.247131672174,120.336398357312,0.181202384756231,26,485.521402079427,86.3666197805116,18,0.0359335229824824,7.16387180846818E-7,1.0,-0.238040250742329,0.0905641702408446,0.532406460846453,0.991821713351053,1.75301598269786E-4,1.41438488475342E-4,6.91870040425213,6.37609209069849E-7,-0.467593539153547,0.880668270634257,-0.00817828664894705,0.761959749257671,1.0,58,-0.909435829759155,4.955637307942E-4,20,0.341016874362425,6559.19793382243,0.479130782900446,4.00346245401428E-4,4.06838346678208E-4,5.71304912356633E-4,1
636.8,7,90,36.7744755975714,116.487888494353,0.177301239738822,24,29.2360674693574,68.8853303342909,20,0.0423994974874372,7.51583007899383E-7,1.0,-0.236092032967033,0.104739010989011,0.534817813765182,1.0,1.55720087836669E-4,1.32084003075746E-4,6.6143216080402,6.17009023376859E-7,-0.465182186234818,0.886747133680887,0.0,0.763907967032967,1.0,40,-0.895260989010989,5.12820512820513E-4,18,0.331414423747379,6881.2278580402,0.457625421966154,4.10731244064577E-4,4.05982905982906E-4,5.6980056980057E-4,1
682.9,8,104,32.8886287293544,102.662028955935,0.178008785249265,29,27.1227431260519,64.1744862469877,21,0.0336798945672866,7.32584178594804E-7,1.00062617407639,-0.245178041543027,0.0673219584569733,0.576288874973909,1.00062617407639,1.69278290329244E-4,1.50504474005637E-4,6.48850490554986,6.04442391579871E-7,-0.424337299102484,0.904436517927919,0.0,0.754821958456973,0.999374217772215,61,-0.932678041543027,5.0101557210562E-4,31,0.342697967135447,6419.94596573437,0.404849795350992,3.81403746332656E-4,3.97201534642293E-4,5.52922590837283E-4,1
706,6,97,795.241399926341,134.830577095983,0.165723167318245,30,57.936753171266,63.3295155464712,21,0.0354107648725212,7.0130798214901E-7,1.01368464052288,-0.235632183908046,0.105538140020899,0.585988562091503,1.01368464052288,1.62394836780389E-4,1.40363214026658E-4,6.56373937677054,1.09386402247141E-7,-0.427696078431373,0.891859947641097,0.0,0.764367816091954,0.986500100745517,42,-0.894461859979101,4.98489425981873E-4,38,0.326324407943012,6214.4216713881,0.464866766114244,4.31592576607682E-4,3.84117393180837E-4,5.54596460940872E-4,1
689.9,6,104,32.6749486504399,112.19099636873,0.196666194398857,30,30.0524564135705,72.0193817282854,21,0.0405855921147993,6.16294108717299E-7,1.00493605564281,-0.247140726006962,0.0838720371291232,0.53825443123177,1.00493605564281,1.72974589143616E-4,1.28419225057891E-4,6.55457312654008,5.54465249913945E-7,-0.466681624411039,0.872758305778327,0.0,0.752859273993038,0.995088189327975,53,-0.916127962870877,4.6218487394958E-4,22,0.327272072123797,6361.87722858385,0.479347257393979,4.3343653250774E-4,4.15745245466608E-4,5.484298982751E-4,1
772.1,5,98,41.9659325835257,109.918617242806,0.184215055474451,26,61.1899048843196,74.2872507383107,20,0.0349695635280404,5.84970701793697E-7,1.0,-0.262459016393443,0.0952459016393443,0.524437548487199,1.0,1.76246362786196E-4,1.48971515823874E-4,6.36705090014247,6.64930725779885E-7,-0.475562451512801,0.863725916223103,0.0,0.737540983606557,1.0,50,-0.904754098360656,5.00406834825061E-4,30,0.333676257006952,5688.21020593187,0.452304573086723,4.14971521562246E-4,4.19039869812856E-4,5.37021969080553E-4,1
708,9,109,508.021510301331,123.285633025379,0.193699673818506,32,743.902909294012,106.499223092453,21,0.0409604519774011,1.04685579447298E-7,1.0,-0.109550561797753,0.0761548064918851,0.725959465286762,1.0,1.72056324926878E-4,1.24531403715802E-4,6.33333333333333,1.49550827781854E-7,-0.274040534713238,0.857874879622648,0.0,0.890449438202247,1.0,61,-0.923845193508115,5.15165031222123E-4,26,0.334777805375262,6204.30677966102,0.484183593907926,3.70205173951829E-4,3.99197145405888E-4,5.64228367528992E-4,1
701,6,100,138.11064317209,117.742484283866,0.177506098110164,29,72.9871176144983,72.5336891079827,21,0.0443651925820257,5.85865309033634E-7,1.00811594202899,-0.272062185642433,0.0842859320225575,0.505700483091787,1.00811594202899,1.53514229653454E-4,1.2206732755709E-4,6.39372325249643,2.72807510313371E-7,-0.502415458937198,0.859968148875706,0.0,0.727937814357567,0.991949396204715,48,-0.915714067977442,4.88621151271754E-4,15,0.331180767004796,6270.60855920114,0.497971889243063,4.21686746987952E-4,4.12762159750112E-4,5.71173583221776E-4,1
816.1,8,105,28.6706849991469,106.248579820901,0.171677752467035,31,28.4225506227731,72.0966408705941,23,0.0318588408283299,6.67963027738403E-7,1.01135339700847,-0.092781954887218,0.0858646616541353,0.770769508019463,1.01135339700847,1.49537663817633E-4,1.26196296142039E-4,5.80933709104276,6.12492049656321E-7,-0.240583888989007,0.830603125557519,0.0,0.907218045112782,0.988774055595153,47,-0.914135338345865,5.1676861421641E-4,25,0.332287551129009,5389.91287832373,0.495228444929434,4.02868593123814E-4,3.8599451592491E-4,5.80046403712297E-4,1
773.1,6,110,469.303996252663,87.2315539769434,0.193396391028056,30,155.427219684922,50.5459570794428,26,0.0491527616091062,0.0101946994873017,1.00670322973796,-0.104509445460085,0.0735831809872029,0.863601919676686,0.988633493306391,2.80541443441268,1.68078628115009,8.5926788255077,0.00690880461122925,-0.136398080323314,1.71955179304071,-0.0113665066936095,0.902193784277879,1.00670322973796,96,-0.933120048750762,4.75688694866777E-4,71,0.340678763986155,0.456732634846721,0.549688588984251,3.91389432485323E-4,3.83862712629836E-4,5.20849013999699E-4,2
873.2,9,131,303.233505211036,71.1237588963612,0.215170247817622,38,22.8276902340762,45.5179848051112,26,0.0287448465414567,0.00240988276494771,1.0,-0.14722553699284,0.0874105011933174,0.815949227373068,1.0,0.863244743611459,0.466646621546529,8.35203847915712,0.00323011394699316,-0.184050772626932,1.10892942337055,0.0,0.85277446300716,1.0,148,-0.912589498806683,4.53859865624572E-4,100,0.337159773859418,1.89303710490151,0.58252522971773,3.57877416700946E-4,3.77073906485671E-4,5.00479912244618E-4,2
942.1,10,138,173.207540442224,61.2488880170813,0.212890108945728,43,66.2414896910486,43.2240578863956,25,0.0360895870926653,0.00139982974918973,1.0,-0.151399878271455,0.0763846622032867,0.816154473755779,0.99564862659777,0.481931650064188,0.269638264955268,7.85797686020592,4.60328629060469E-4,-0.183845526244221,1.02103287053283,-0.00435137340223008,0.848600121728545,1.0,148,-0.923615337796713,4.39011211670944E-4,123,0.34220349526823,3.36503555885787,0.555768347477015,3.76874240172903E-4,3.5526138052141E-4,4.94394164527894E-4,2
