@relation USER19
@attribute a0{﻿589.8,305.4,315.5,279.4,284.4,316.3,339.5,616.8,442.5,405.5,423.6,436.6,481.7,471.7,462.6,429.6,442.6,421.6,533.6,599.6,517.8,505.6,689.8,623.9,537.6,607.8,548.7,599.9,598.8,557.6,542.6,503.5,592.8,621.9,579.7,600.8,606.8,639.9}
@attribute a1 integer[4,11]
@attribute a2 integer[48,115]
@attribute a3 real[16.7836457465097,1810.35604643037]
@attribute a4 real[64.139491826892,217.874726127506]
@attribute a5 real[0.210476699733882,0.280311360102608]
@attribute a6 integer[13,26]
@attribute a7 real[12.560026624677,502.965598190723]
@attribute a8 real[38.7793335806347,108.227654040706]
@attribute a9 integer[10,37]
@attribute a10 real[0.12685093780849,0.366904035266192]
@attribute a11 real[1.65269663210767E-7,2.42841690650316E-6]
@attribute a12 real[1.0,1.02307864665024]
@attribute a13 real[-0.34155029923055,-0.116254523522316]
@attribute a14 real[0.0,0.128797984289314]
@attribute a15 real[0.350239763924751,0.722673709874035]
@attribute a16 real[0.715023579609252,1.00774971297359]
@attribute a17 real[6.84330531633324E-5,3.68113808133878E-4]
@attribute a18 real[6.7227397399748E-5,3.03372599130821E-4]
@attribute a19 real[6.18853848762292,8.72905469490989]
@attribute a20 real[1.70130535658142E-7,1.48755382354695E-6]
@attribute a21 real[-0.649760236075249,-0.277326290125965]
@attribute a22 real[0.855399145547661,0.998811063313]
@attribute a23 real[-0.284976420390748,0.0]
@attribute a24 real[0.65844970076945,0.883745476477684]
@attribute a25 real[0.977441962330267,1.01079375622717]
@attribute a26 integer[8,86]
@attribute a27 real[-1.01079375622717,-0.871202015710686]
@attribute a28 real[3.74384236453202E-4,5.4485049833887E-4]
@attribute a29 integer[7,89]
@attribute a30 real[0.26186333312519,0.338542355439019]
@attribute a31 real[3758.15584227312,15783.9898890259]
@attribute a32 real[0.321319854965559,0.651689413151221]
@attribute a33 real[4.23759507424846E-4,5.52085935548339E-4]
@attribute a34 real[2.95992714025501E-4,4.55124124761299E-4]
@attribute a35 real[4.76712328767123E-4,6.15752828546562E-4]
@attribute a36 integer[1,2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
﻿589.8,8,72,38.5979468759722,102.71594156599,0.210476699733882,18,41.060409780317,73.2178140700629,17,0.366904035266192,1.21132721853535E-6,1.0,-0.238226059654631,0.0,0.64832697058163,0.715023579609252,2.62123266961747E-4,1.52699490813796E-4,6.18853848762292,8.57059660149631E-7,-0.35167302941837,0.904747106414217,-0.284976420390748,0.761773940345369,1.0,39,-1.0,4.3013698630137E-4,63,0.305530172015492,4579.32790776535,0.640009797126524,4.84931506849315E-4,3.72602739726027E-4,4.76712328767123E-4,1
305.4,7,59,56.6092765386864,125.911517748261,0.228601701060336,16,37.5455444968906,75.9273431210053,14,0.196791093647675,1.31289190660785E-6,1.02307864665024,-0.229146994019515,0.0494176896443185,0.687654044364777,0.87138695944432,1.6275891637489E-4,1.16958956903958E-4,7.5343811394892,1.02588350242397E-6,-0.335424602285458,0.959919029283459,-0.151691687205915,0.770853005980485,0.977441962330267,15,-0.950582310355681,4.51977401129944E-4,16,0.322198972794136,8846.87262606418,0.651689413151221,5.12820512820513E-4,4.04172099087353E-4,5.56279878313777E-4,1
305.4,6,62,66.4786402813164,159.092175655504,0.251669714533355,15,38.421992515666,87.7251585985574,15,0.200065487884741,1.12956161444757E-6,1.0,-0.224750667228543,0.0290771175726928,0.583527913394184,0.762895351305455,1.64348697305656E-4,1.08757790842386E-4,7.79305828421742,5.37708669356861E-7,-0.416472086605816,0.903798551626235,-0.237104648694545,0.775249332771457,1.0,13,-0.970922882427307,4.57983193277311E-4,13,0.319844895775732,8849.10576293386,0.616372504349721,5.16806722689076E-4,3.69747899159664E-4,6.05042016806723E-4,1
315.5,6,53,446.088240554934,156.430051474826,0.280311360102608,14,129.118670836752,99.8206042066398,12,0.184152139461173,1.13381793867284E-6,1.0,-0.317622647102416,0.128797984289314,0.537693006357856,0.887148047229791,1.88417164779625E-4,1.22986393017559E-4,8.46592709984152,3.98289891277381E-7,-0.462306993642144,0.969822565425358,-0.112851952770209,0.682377352897584,1.0,8,-0.871202015710686,4.53013852489704E-4,10,0.283165543101622,8567.79968304279,0.580718432882834,5.46611755896668E-4,4.00599026581805E-4,5.91538749532011E-4,1
279.4,7,58,110.857112508322,183.934130776771,0.2439499976629,16,62.0555132638003,99.2911097887764,13,0.161417322834646,7.57633453023331E-7,1.0,-0.241566265060241,0.020933734939759,0.40878181464931,0.837186710705265,1.37150643673236E-4,1.06312404064179E-4,8.27487473156765,2.87230744655129E-7,-0.59121818535069,0.95151898847069,-0.162813289294735,0.758433734939759,1.0,8,-0.979066265060241,4.6280276816609E-4,15,0.299020860418776,9676.75232641375,0.586295461963646,5.32006920415225E-4,3.89273356401384E-4,5.75259515570934E-4,1
284.4,7,50,93.3728465564546,202.176772231672,0.268202461675512,15,58.7486037460232,108.227654040706,10,0.15154711673699,1.23902040360773E-6,1.0,-0.116254523522316,0.0257840772014475,0.350239763924751,0.893950571744744,1.37475963631577E-4,1.12393648192161E-4,8.26300984528833,4.51836500460938E-7,-0.649760236075249,0.942575202400155,-0.106049428255256,0.883745476477684,1.0,8,-0.974215922798553,5.1063829787234E-4,8,0.324587697203511,9508.11954992968,0.594548053920503,4.8936170212766E-4,4.46808510638298E-4,5.53191489361702E-4,1
316.3,6,64,73.4160946899664,166.630242905007,0.269568441821961,19,178.420518669876,90.8157678028336,14,0.183686373695858,9.95005627281687E-7,1.0,-0.168082805499768,0.0159122508883053,0.5126953125,0.90859375,1.69017835767831E-4,1.33689374189911E-4,8.72905469490989,4.5097377351616E-7,-0.4873046875,0.970845936848149,-0.09140625,0.831917194500232,1.0,28,-0.984087749111695,4.99818906193408E-4,23,0.316886038911337,8550.68257982928,0.523793426996663,4.23759507424846E-4,3.47700108656284E-4,5.93987685621152E-4,1
339.5,6,54,78.3026793700742,156.416849534778,0.272140349085143,15,119.881339486439,87.6238819388004,11,0.179970544918999,7.28477907500045E-7,1.0,-0.329863656355373,0.0161266676440405,0.447510721611039,0.872086518739511,1.56184685362987E-4,1.22799951268392E-4,7.87628865979381,4.06284695492891E-7,-0.552489278388961,0.998811063313,-0.127913481260489,0.670136343644627,1.0,14,-0.98387333235596,4.41286462228871E-4,26,0.296193781707875,7968.10515463918,0.52501457002914,5.31039640987285E-4,3.40314136125654E-4,5.87135377711294E-4,1
305.4,7,48,71.2518940511296,165.819095412757,0.26119493136875,13,52.6756640187184,104.191334555183,10,0.186967910936477,6.60144240252962E-7,1.0,-0.34155029923055,0.0805072670276432,0.609320388349515,0.880970873786408,1.33218389516524E-4,9.77592912525075E-5,7.73411918795023,5.82091113649906E-7,-0.390679611650485,0.965750194531348,-0.119029126213592,0.65844970076945,1.0,11,-0.919492732972357,4.48772226926334E-4,7,0.282226583120952,8859.83169613622,0.641907030922596,5.37679932260796E-4,4.02201524132092E-4,6.01185436071126E-4,1
616.8,11,115,1810.35604643037,217.874726127506,0.250425365171118,25,187.686083271668,64.8583938665853,37,0.188229571984436,1.36714267153864E-6,1.0,-0.276739197057922,0.0871897027275513,0.392519605871707,0.916750452443193,2.77706181596918E-4,2.11620110493637E-4,7.12062256809339,1.45734128836316E-6,-0.607480394128293,0.928591372345734,-0.0832495475568068,0.723260802942078,1.0,60,-0.912810297272449,4.0983606557377E-4,89,0.279217054871607,4388.55252918288,0.52218019640205,4.80418943533698E-4,2.95992714025501E-4,5.28233151183971E-4,1
