@relation USER20
@attribute a0 {170.1, 186.3, 249.3, 179, 176, 198, 207.1, 195, 200, 197, 200.2, 206.3, 208, 216, 212.3, 217, 203.2, 218.1, 232, 216.2, 213, 208.2, 215.1, 273.1, 260.1, 253.4, 256.1, 244.2, 251.3, 265.1, 280.1, 234.1, 262.1, 246.3, 257.3, 268.4, 267.2, 259.3}
@attribute a1 integer [0, 2]
@attribute a2 integer [32, 56]
@attribute a3 real [15.9538357618021, 520.188927483868]
@attribute a4 real [58.0146016759925, 112.775660698774]
@attribute a5 real [0.158808734833328, 0.248335169445753]
@attribute a6 integer [6, 15]
@attribute a7 real [11.8369835511948, 714.060495435694]
@attribute a8 real [30.0688565349462, 102.337172912624]
@attribute a9 integer [8, 16]
@attribute a10 real [0.00357015351660121, 0.640748031496063]
@attribute a11 real [2.51143384793973E-7, 1.60252285468801E-6]
@attribute a12 real [1.0, 1.01069518716578]
@attribute a13 real [-1.00545454545455, -0.293284216491924]
@attribute a14 real [0.0, 0.115026428391644]
@attribute a15 real [0.464025026068822, 1.01069518716578]
@attribute a16 real [0.464025026068822, 1.01069518716578]
@attribute a17 real [1.21777019162357E-4, 3.79812599610915E-4]
@attribute a18 real [5.31449495873736E-5, 1.9999979011138E-4]
@attribute a19 real [9.12863070539419, 10.0]
@attribute a20 real [2.30414471682306E-7, 1.82034170118212E-6]
@attribute a21 real [-0.535974973931178, 0.0]
@attribute a22 real [0.665004735838399, 0.833680129628816]
@attribute a23 real [-0.535974973931178, 0.0]
@attribute a24 real [0.0, 0.706715783508076]
@attribute a25 real [0.989417989417989, 1.00545454545455]
@attribute a26 integer [10, 74]
@attribute a27 real [-1.00545454545455, -0.884973571608356]
@attribute a28 real [4.17168070597673E-4, 6.66666666666667E-4]
@attribute a29 integer [11, 73]
@attribute a30 real [0.20948367591693, 0.284497213204334]
@attribute a31 real [8134.02499107462, 25389.5584056827]
@attribute a32 real [0.176582254769736, 0.526123160852548]
@attribute a33 real [1.88389081122645E-4, 4.07407407407407E-4]
@attribute a34 real [3.89089450461292E-4, 5.01360279828993E-4]
@attribute a35 real [3.24909747292419E-4, 4.99194847020934E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
170.1, 0, 42, 520.188927483868, 112.775660698774, 0.212176550997991, 10, 714.060495435694, 102.337172912624, 10, 0.00587889476778366, 2.51143384793973E-7, 1.0, -0.985374372407771, 0.0146256275922288, 0.774400684931507, 0.774400684931507, 1.88360763895798E-4, 9.60512430605948E-5, 10.0, 3.49564440997017E-7, -0.225599315068493, 0.718179823753969, -0.225599315068493, 0.0146256275922288, 1.0, 16, -0.985374372407771, 6.114050558495E-4, 14, 0.232595290646113, 17171.6360964139, 0.235835302398069, 2.99823633156966E-4, 4.99706055261611E-4, 4.23280423280423E-4, 1
186.3, 0, 43, 129.95088815963, 85.3763601956969, 0.237356524460715, 9, 290.855141283843, 90.7806069089197, 10, 0.00536768652710682, 2.73895419164558E-7, 1.0, -0.944927536231884, 0.0550724637681159, 0.856446370530878, 0.856446370530878, 2.75035660928524E-4, 1.22636673930931E-4, 10.0, 6.72903560663545E-7, -0.143553629469122, 0.77018785331438, -0.143553629469122, 0.0550724637681159, 1.0, 23, -0.944927536231884, 5.36768652710682E-4, 11, 0.239499668510224, 15684.1213097155, 0.235861808252559, 3.43531937734836E-4, 4.45517981749866E-4, 4.99194847020934E-4, 1
179, 0, 42, 37.1151998967517, 89.3811001024412, 0.237284436691283, 7, 26.0074213962255, 64.3529968134367, 10, 0.00558659217877095, 8.17010552259488E-7, 1.0, -0.928057553956835, 0.0719424460431655, 0.902564102564103, 0.902564102564103, 2.69990564038981E-4, 1.26254580305999E-4, 10.0, 1.22551582838923E-6, -0.0974358974358974, 0.778340992349122, -0.0974358974358974, 0.0719424460431655, 1.0, 23, -0.928057553956835, 5.25139664804469E-4, 17, 0.244945423681333, 16332.5145251397, 0.21937605133144, 3.46368715083799E-4, 4.58100558659218E-4, 4.46927374301676E-4, 1
176, 0, 41, 40.1651716322101, 97.314936148161, 0.235100829322467, 9, 28.2365425414281, 68.1479193666096, 10, 0.00568181818181818, 9.73513880743006E-7, 1.0, -0.956794775182115, 0.043205224817885, 0.978823529411765, 0.978823529411765, 2.45921059380163E-4, 1.31269090977856E-4, 10.0, 1.36830291993833E-6, -0.0211764705882353, 0.799841468005353, -0.0211764705882353, 0.043205224817885, 1.0, 17, -0.956794775182115, 5.56818181818182E-4, 12, 0.248201637404206, 16614.8011363636, 0.228929277968066, 3.46590909090909E-4, 4.375E-4, 4.94318181818182E-4, 1
198, 0, 47, 39.5726976895994, 95.3784930315321, 0.213515461133788, 11, 29.5945355220017, 73.6914401348491, 11, 0.00505050505050505, 8.46546722103355E-7, 1.0, -0.935414680648236, 0.0645853193517636, 0.80922950144211, 0.80922950144211, 2.32052164516242E-4, 1.34220830143213E-4, 10.0, 1.1851654109447E-6, -0.19077049855789, 0.793577285578724, -0.19077049855789, 0.0645853193517636, 1.0, 24, -0.935414680648236, 4.74747474747475E-4, 20, 0.252168054182853, 14771.5297979798, 0.260321809951988, 4.04040404040404E-4, 4.54545454545455E-4, 4.44444444444444E-4, 1
207.1, 0, 47, 28.3569796719421, 74.5023627606887, 0.234246477164261, 12, 24.8238905679109, 66.4596773638135, 10, 0.00482858522452921, 7.59590007562688E-7, 1.0, -0.975565197533684, 0.0244348024663165, 0.898806139852189, 0.898806139852189, 3.4163067991075E-4, 1.3722958802535E-4, 10.0, 1.37518190942629E-6, -0.101193860147811, 0.757011593264638, -0.101193860147811, 0.0244348024663165, 1.0, 37, -0.975565197533684, 4.87687107677451E-4, 33, 0.24112930039894, 14127.8145823274, 0.204363136253876, 3.33172380492516E-4, 4.20086914534042E-4, 4.20086914534042E-4, 1
200, 0, 48, 32.80040347341, 84.2068708598057, 0.229986413803079, 10, 31.2160043617035, 86.6277576761629, 12, 0.005, 5.36464458983824E-7, 1.0, -0.930029732408325, 0.0699702675916749, 0.93167701863354, 0.93167701863354, 2.57045969699437E-4, 1.14842738494059E-4, 10.0, 1.20203654710068E-6, -0.0683229813664596, 0.741148885994097, -0.0683229813664596, 0.0699702675916749, 1.0, 19, -0.930029732408325, 5.2E-4, 17, 0.20948367591693, 14634.169, 0.264785448678852, 3.85E-4, 4.65E-4, 4.5E-4, 1
212.3, 0, 47, 31.7727879083851, 75.746737652719, 0.218334999003124, 13, 58.7107899203292, 67.5789036598003, 9, 0.00471031559114461, 9.10829527774818E-7, 1.0, -0.953981928976676, 0.0460180710233242, 0.8914686825054, 0.8914686825054, 2.96527143002336E-4, 1.15395727850457E-4, 10.0, 1.55828666197619E-6, -0.1085313174946, 0.733578449342077, -0.1085313174946, 0.0460180710233242, 1.0, 32, -0.953981928976676, 4.71031559114461E-4, 28, 0.214800092620216, 13797.6227037211, 0.292232406857822, 3.86245878473858E-4, 4.71031559114461E-4, 4.05087140838436E-4, 1
207.1, 0, 51, 27.5943426819021, 64.8575118347683, 0.224537850478449, 14, 17.7574467710362, 43.0371048811993, 11, 0.00482858522452921, 1.57762947435783E-6, 1.01069518716578, -0.957095709570957, 0.0429042904290429, 1.01069518716578, 1.01069518716578, 3.16931014597406E-4, 1.61746071356192E-4, 10.0, 1.82034170118212E-6, 0.0, 0.833680129628816, 0.0, 0.0429042904290429, 0.989417989417989, 37, -0.957095709570957, 4.82858522452921E-4, 29, 0.284497213204334, 14149.2168034766, 0.245414295189929, 3.38000965717045E-4, 4.34572670207629E-4, 4.24915499758571E-4, 1
218.1, 0, 56, 439.748311343374, 88.2161681610241, 0.237306124816776, 15, 54.0182224145913, 59.1015680873939, 16, 0.00458505272810637, 1.07211858696511E-6, 1.0, -0.924308255202378, 0.0756917447976218, 0.983031674208145, 0.983031674208145, 3.18737581334382E-4, 1.28865319871756E-4, 10.0, 1.28547551969448E-6, -0.0169683257918552, 0.761331595629629, -0.0169683257918552, 0.0756917447976218, 1.0, 41, -0.924308255202378, 4.90600641907382E-4, 32, 0.252729822958847, 13437.1953232462, 0.280680929966817, 3.25538743695552E-4, 4.40165061898212E-4, 4.1723979825768E-4, 1
