@relation USER20
@attribute a0{﻿170.1,186.3,249.3,179,176,198,207.1,195,200,197,200.2,206.3,208,216,212.3,217,203.2,218.1,232,216.2,213,208.2,215.1,273.1,260.1,253.4,256.1,244.2,251.3,265.1,280.1,234.1,262.1,246.3,257.3,268.4,267.2,259.3}
@attribute a1 integer[0,2]
@attribute a2 integer[32,56]
@attribute a3 real[15.9538357618021,520.188927483868]
@attribute a4 real[58.0146016759925,112.775660698774]
@attribute a5 real[0.158808734833328,0.248335169445753]
@attribute a6 integer[6,15]
@attribute a7 real[11.8369835511948,714.060495435694]
@attribute a8 real[30.0688565349462,102.337172912624]
@attribute a9 integer[8,16]
@attribute a10 real[0.00357015351660121,0.640748031496063]
@attribute a11 real[2.51143384793973E-7,1.60252285468801E-6]
@attribute a12 real[1.0,1.01069518716578]
@attribute a13 real[-1.00545454545455,-0.293284216491924]
@attribute a14 real[0.0,0.115026428391644]
@attribute a15 real[0.464025026068822,1.01069518716578]
@attribute a16 real[0.464025026068822,1.01069518716578]
@attribute a17 real[1.21777019162357E-4,3.79812599610915E-4]
@attribute a18 real[5.31449495873736E-5,1.9999979011138E-4]
@attribute a19 real[9.12863070539419,10.0]
@attribute a20 real[2.30414471682306E-7,1.82034170118212E-6]
@attribute a21 real[-0.535974973931178,0.0]
@attribute a22 real[0.665004735838399,0.833680129628816]
@attribute a23 real[-0.535974973931178,0.0]
@attribute a24 real[0.0,0.706715783508076]
@attribute a25 real[0.989417989417989,1.00545454545455]
@attribute a26 integer[10,74]
@attribute a27 real[-1.00545454545455,-0.884973571608356]
@attribute a28 real[4.17168070597673E-4,6.66666666666667E-4]
@attribute a29 integer[11,73]
@attribute a30 real[0.20948367591693,0.284497213204334]
@attribute a31 real[8134.02499107462,25389.5584056827]
@attribute a32 real[0.176582254769736,0.526123160852548]
@attribute a33 real[1.88389081122645E-4,4.07407407407407E-4]
@attribute a34 real[3.89089450461292E-4,5.01360279828993E-4]
@attribute a35 real[3.24909747292419E-4,4.99194847020934E-4]
@attribute a36 integer[1,2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
﻿170.1,0,42,520.188927483868,112.775660698774,0.212176550997991,10,714.060495435694,102.337172912624,10,0.00587889476778366,2.51143384793973E-7,1.0,-0.985374372407771,0.0146256275922288,0.774400684931507,0.774400684931507,1.88360763895798E-4,9.60512430605948E-5,10.0,3.49564440997017E-7,-0.225599315068493,0.718179823753969,-0.225599315068493,0.0146256275922288,1.0,16,-0.985374372407771,6.114050558495E-4,14,0.232595290646113,17171.6360964139,0.235835302398069,2.99823633156966E-4,4.99706055261611E-4,4.23280423280423E-4,1
186.3,0,43,129.95088815963,85.3763601956969,0.237356524460715,9,290.855141283843,90.7806069089197,10,0.00536768652710682,2.73895419164558E-7,1.0,-0.944927536231884,0.0550724637681159,0.856446370530878,0.856446370530878,2.75035660928524E-4,1.22636673930931E-4,10.0,6.72903560663545E-7,-0.143553629469122,0.77018785331438,-0.143553629469122,0.0550724637681159,1.0,23,-0.944927536231884,5.36768652710682E-4,11,0.239499668510224,15684.1213097155,0.235861808252559,3.43531937734836E-4,4.45517981749866E-4,4.99194847020934E-4,1
249.3,0,50,96.1157655086112,78.1138416416006,0.219169710611837,15,103.428066603979,59.0619158269917,10,0.00401123144805455,7.3054461842922E-7,1.0,-0.967554479418886,0.0324455205811138,0.947609359104781,0.947609359104781,3.79812599610915E-4,1.80801833131975E-4,10.0,7.58286819129063E-7,-0.0523906408952187,0.775118636155405,-0.0523906408952187,0.0324455205811138,1.0,74,-0.967554479418886,4.17168070597673E-4,73,0.272494806721703,11724.0958684316,0.176582254769736,2.92819895707982E-4,3.89089450461292E-4,3.24909747292419E-4,1
179,0,42,37.1151998967517,89.3811001024412,0.237284436691283,7,26.0074213962255,64.3529968134367,10,0.00558659217877095,8.17010552259488E-7,1.0,-0.928057553956835,0.0719424460431655,0.902564102564103,0.902564102564103,2.69990564038981E-4,1.26254580305999E-4,10.0,1.22551582838923E-6,-0.0974358974358974,0.778340992349122,-0.0974358974358974,0.0719424460431655,1.0,23,-0.928057553956835,5.25139664804469E-4,17,0.244945423681333,16332.5145251397,0.21937605133144,3.46368715083799E-4,4.58100558659218E-4,4.46927374301676E-4,1
176,0,41,40.1651716322101,97.314936148161,0.235100829322467,9,28.2365425414281,68.1479193666096,10,0.00568181818181818,9.73513880743006E-7,1.0,-0.956794775182115,0.043205224817885,0.978823529411765,0.978823529411765,2.45921059380163E-4,1.31269090977856E-4,10.0,1.36830291993833E-6,-0.0211764705882353,0.799841468005353,-0.0211764705882353,0.043205224817885,1.0,17,-0.956794775182115,5.56818181818182E-4,12,0.248201637404206,16614.8011363636,0.228929277968066,3.46590909090909E-4,4.375E-4,4.94318181818182E-4,1
198,0,47,39.5726976895994,95.3784930315321,0.213515461133788,11,29.5945355220017,73.6914401348491,11,0.00505050505050505,8.46546722103355E-7,1.0,-0.935414680648236,0.0645853193517636,0.80922950144211,0.80922950144211,2.32052164516242E-4,1.34220830143213E-4,10.0,1.1851654109447E-6,-0.19077049855789,0.793577285578724,-0.19077049855789,0.0645853193517636,1.0,24,-0.935414680648236,4.74747474747475E-4,20,0.252168054182853,14771.5297979798,0.260321809951988,4.04040404040404E-4,4.54545454545455E-4,4.44444444444444E-4,1
207.1,0,47,28.3569796719421,74.5023627606887,0.234246477164261,12,24.8238905679109,66.4596773638135,10,0.00482858522452921,7.59590007562688E-7,1.0,-0.975565197533684,0.0244348024663165,0.898806139852189,0.898806139852189,3.4163067991075E-4,1.3722958802535E-4,10.0,1.37518190942629E-6,-0.101193860147811,0.757011593264638,-0.101193860147811,0.0244348024663165,1.0,37,-0.975565197533684,4.87687107677451E-4,33,0.24112930039894,14127.8145823274,0.204363136253876,3.33172380492516E-4,4.20086914534042E-4,4.20086914534042E-4,1
195,0,44,38.2618821141124,96.1679874729406,0.23946463752263,11,31.9320361306418,81.8702724568756,11,0.00512820512820513,5.73884900350292E-7,1.0,-0.930619391551762,0.0693806084482381,0.922241529105126,0.922241529105126,2.21676130925925E-4,1.11687120462132E-4,10.0,8.87089879863503E-7,-0.077758470894874,0.751093461113962,-0.077758470894874,0.0693806084482381,1.0,23,-0.930619391551762,5.02564102564103E-4,21,0.230103552512503,15007.2061538462,0.27610656869555,3.79487179487179E-4,4.46153846153846E-4,4.46153846153846E-4,1
200,0,48,32.80040347341,84.2068708598057,0.229986413803079,10,31.2160043617035,86.6277576761629,12,0.005,5.36464458983824E-7,1.0,-0.930029732408325,0.0699702675916749,0.93167701863354,0.93167701863354,2.57045969699437E-4,1.14842738494059E-4,10.0,1.20203654710068E-6,-0.0683229813664596,0.741148885994097,-0.0683229813664596,0.0699702675916749,1.0,19,-0.930029732408325,5.2E-4,17,0.20948367591693,14634.169,0.264785448678852,3.85E-4,4.65E-4,4.5E-4,1
197,0,52,28.0829717456879,73.0757254625109,0.214425531947957,14,24.762006141074,60.0006140923579,13,0.0050761421319797,1.44470206372009E-6,1.0,-0.884973571608356,0.115026428391644,0.886774036115178,0.886774036115178,2.87523208669798E-4,1.48284685266654E-4,10.0,1.67068897871541E-6,-0.113225963884822,0.818928669994521,-0.113225963884822,0.115026428391644,1.0,32,-0.884973571608356,4.77157360406091E-4,29,0.269963513470354,14858.8852791878,0.241223135215717,3.65482233502538E-4,4.16243654822335E-4,4.41624365482234E-4,1
