@relation USER21
@attribute a0 {214.3, 192.2, 168.2, 158.2, 198.3, 166.2, 150.2, 153.2, 212.3, 138.2, 177.2, 156.2, 143.2, 149.2, 142.2, 132.2, 130.2, 133.1, 170.2, 169.2, 182.2, 189.2, 175.2, 154.1, 211.2, 209.3, 207.3, 214.3, 224.3, 215.3, 200.3, 181.2, 178.2}
@attribute a1 integer [4, 5]
@attribute a2 integer [20, 34]
@attribute a3 real [17.7524491018513, 1675.15965249632]
@attribute a4 real [61.3996568701432, 204.246648875086]
@attribute a5 real [0.245719674187375, 0.334634767589004]
@attribute a6 integer [4, 11]
@attribute a7 real [22.8852462731279, 80.1105089808164]
@attribute a8 real [72.8594118817649, 142.483162403844]
@attribute a9 integer [4, 8]
@attribute a10 real [0.106999554168524, 0.198863636363636]
@attribute a11 real [4.07440112355149E-7, 1.38900673430175E-6]
@attribute a12 real [1.0, 1.03393135725429]
@attribute a13 real [-0.21459678630425, 0.0]
@attribute a14 real [0.0, 0.137863315003928]
@attribute a15 real [0.585356880058867, 0.840802675585284]
@attribute a16 real [0.562876254180602, 0.92870134594398]
@attribute a17 real [4.20691299531611E-5, 1.33038239635015E-4]
@attribute a18 real [2.2341112570508E-5, 6.98710820419998E-5]
@attribute a19 real [4.48814926878467, 7.35785953177257]
@attribute a20 real [5.35198106033543E-7, 2.87678728082052E-6]
@attribute a21 real [-0.414643119941133, -0.159197324414716]
@attribute a22 real [0.701592059763107, 0.884946629226073]
@attribute a23 real [-0.437123745819398, -0.0712986540560204]
@attribute a24 real [0.78540321369575, 1.00343781597573]
@attribute a25 real [1.0, 1.03393135725429]
@attribute a26 integer [0, 16]
@attribute a27 real [-1.02389415481833, -0.862136684996072]
@attribute a28 real [5.71428571428571E-4, 7.33333333333333E-4]
@attribute a29 integer [1, 16]
@attribute a30 real [0.283854742849003, 0.354450962197479]
@attribute a31 real [12455.3563995838, 42787.2349123946]
@attribute a32 real [0.388272429282506, 0.536148351801057]
@attribute a33 real [2.92929292929293E-4, 4.08E-4]
@attribute a34 real [3.48837209302326E-4, 5.6198347107438E-4]
@attribute a35 real [3.57615894039735E-4, 6.3953488372093E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
214.3, 4, 27, 33.9311619278443, 118.354010749365, 0.275394602453269, 8, 46.0145727769572, 106.341175904214, 4, 0.145123658422772, 1.11645824765285E-6, 1.03393135725429, -0.0520670826833073, 0.117784711388456, 0.643972885352196, 0.724727379899794, 1.09182575003443E-4, 6.98710820419998E-5, 5.65095660289314, 1.63587999923466E-6, -0.356027114647804, 0.828716399581673, -0.275272620100206, 0.981864274570983, 1.03393135725429, 5, -0.916146645865835, 6.27580511973576E-4, 8, 0.350012171015573, 12814.6089594027, 0.440004767251491, 3.63336085879439E-4, 5.03715937241949E-4, 4.6242774566474E-4, 1
192.2, 4, 29, 35.3752176176446, 93.6392583566511, 0.309170539754275, 9, 41.6244111789693, 97.15338616254, 6, 0.145681581685744, 1.38900673430175E-6, 1.0, -0.0321194762684124, 0.0789689034369886, 0.778998778998779, 0.74969474969475, 1.33038239635015E-4, 6.68729449229196E-5, 5.25494276795005, 2.87678728082052E-6, -0.221001221001221, 0.831840398763581, -0.25030525030525, 0.967880523731588, 1.0, 2, -0.921031096563011, 7.02970297029703E-4, 2, 0.320226471341674, 12455.3563995838, 0.465433360903762, 3.16831683168317E-4, 5.54455445544555E-4, 4.65346534653465E-4, 1
158.2, 4, 26, 52.6830257690239, 122.999353034422, 0.298672897945944, 6, 43.6320682720651, 109.853863920878, 6, 0.164348925410872, 1.23967627041379E-6, 1.0, -0.0688844086021505, 0.0784610215053763, 0.657752078062884, 0.780990242139501, 1.18107502134616E-4, 5.4906495027971E-5, 6.19469026548673, 2.17956154732882E-6, -0.342247921937116, 0.791148585591892, -0.219009757860499, 0.93111559139785, 1.0, 3, -0.921538978494624, 6.73469387755102E-4, 4, 0.336176423832375, 15160.3792667509, 0.507896900236955, 3.36734693877551E-4, 5.40816326530612E-4, 4.59183673469388E-4, 1
198.3, 5, 29, 61.4529055204823, 120.924691068174, 0.264239369406132, 8, 56.5026188154785, 114.492118464074, 7, 0.146243066061523, 1.02033636596731E-6, 1.00413874655104, -0.0214820654316121, 0.0, 0.840802675585284, 0.562876254180602, 8.98988000837556E-5, 5.27570975957663E-5, 4.48814926878467, 1.65944815563915E-6, -0.159197324414716, 0.79958810317674, -0.437123745819398, 0.982656681119432, 1.00413874655104, 2, -1.00413874655104, 7.07865168539326E-4, 1, 0.345237975256162, 13857.2022188603, 0.406319662258689, 3.25842696629213E-4, 5.61797752808989E-4, 4.8314606741573E-4, 1
166.2, 4, 22, 54.8579003523939, 121.15552792048, 0.30309439005016, 6, 49.1630744494646, 120.223186291592, 5, 0.150421179302046, 9.58773394236929E-7, 1.00265957446809, -0.0425531914893617, 0.0785460992907801, 0.650017711654268, 0.742826780021254, 1.14103883162665E-4, 5.69611427353146E-5, 5.84235860409146, 1.96293251127797E-6, -0.349982288345731, 0.812774351241696, -0.257173219978746, 0.960106382978723, 1.00265957446809, 2, -0.924113475177305, 6.69412976313079E-4, 5, 0.327840456045665, 14441.9416365824, 0.515426473672488, 3.50154479917611E-4, 5.25231719876416E-4, 4.63439752832132E-4, 1
150.2, 4, 24, 56.6153614965641, 127.350605850321, 0.323161172688913, 7, 62.3325280495061, 120.703198237815, 5, 0.173102529960053, 1.0076781432654E-6, 1.01168309602045, -0.0512960934647682, 0.0867104782767433, 0.749465431218817, 0.782608695652174, 1.0620841442293E-4, 5.37749568514509E-5, 6.05858854860186, 2.06731469079291E-6, -0.250534568781183, 0.813107333870186, -0.217391304347826, 0.960387002555677, 1.01168309602045, 1, -0.924972617743702, 7.25274725274725E-4, 1, 0.322104893481311, 15993.7856191744, 0.507017664562514, 3.07692307692308E-4, 5.38461538461538E-4, 4.94505494505495E-4, 1
212.3, 5, 23, 60.7584063369375, 115.454324985843, 0.300601094483739, 7, 53.2034455137755, 113.883360026663, 4, 0.10880829015544, 8.55118455089725E-7, 1.02389415481833, -0.0876777251184834, 0.0, 0.721507064364207, 0.77519623233909, 9.09029847799935E-5, 5.5839152656563E-5, 4.66321243523316, 1.37883315247848E-6, -0.278492935635793, 0.815374738983637, -0.224803767660911, 0.936216429699842, 1.02389415481833, 4, -1.02389415481833, 7.17171717171717E-4, 4, 0.329693647614401, 12951.3688177108, 0.427817897951694, 2.92929292929293E-4, 5.05050505050505E-4, 5.05050505050505E-4, 1
142.2, 4, 21, 57.992587228359, 121.892996183279, 0.332361909496759, 4, 41.4007163252868, 117.985029112516, 6, 0.175808720112518, 9.41174709424498E-7, 1.0, -0.0271013354281225, 0.137863315003928, 0.677852348993289, 0.838926174496644, 1.04722724644549E-4, 5.82227088508871E-5, 6.32911392405063, 2.07517806249386E-6, -0.322147651006711, 0.841520387209745, -0.161073825503356, 0.972898664571877, 1.0, 1, -0.862136684996072, 7.33333333333333E-4, 2, 0.311092860009361, 16922.5492264416, 0.472010459795162, 3.0E-4, 4.77777777777778E-4, 5.44444444444444E-4, 1
130.2, 4, 21, 65.2460873514667, 114.328022262488, 0.329246842920757, 4, 50.1869424994362, 128.470995069797, 6, 0.161290322580645, 1.05416455582546E-6, 1.0, -0.0123732251521298, 0.0630831643002028, 0.683157511822481, 0.92870134594398, 1.00914494183714E-4, 5.62705769799248E-5, 6.60522273425499, 2.0756958436619E-6, -0.316842488177519, 0.854399892581695, -0.0712986540560204, 0.98762677484787, 1.0, 3, -0.936916835699797, 7.09302325581395E-4, 5, 0.327924979453571, 18501.8832565284, 0.464624580036438, 3.02325581395349E-4, 3.48837209302326E-4, 6.3953488372093E-4, 1
133.1, 4, 24, 52.7743935394077, 103.88712937595, 0.321945745629565, 6, 55.1862413425346, 124.54481040389, 6, 0.172802404207363, 1.03918481793391E-6, 1.00343781597573, 0.0, 0.0618806875631951, 0.663703703703704, 0.894444444444444, 1.03133319930952E-4, 5.61184933118844E-5, 6.53643876784373, 1.8961429142396E-6, -0.336296296296296, 0.840113703316642, -0.105555555555556, 1.00343781597573, 1.00343781597573, 1, -0.941557128412538, 7.1264367816092E-4, 8, 0.338212331764943, 18100.6874530428, 0.450138706380493, 3.2183908045977E-4, 3.67816091954023E-4, 5.86206896551724E-4, 1
