@relation USER24
@attribute a0{﻿122.1,118.1,123.1,113.2,138.2,121.1,136.2,137.2,127.1,112.1,99.2,111.2,114.1,110.1,109.1,124.2,130.2,122.2,126.2,159.1,132.1,153.1,157.1,192.1,174.3,177.2,194.2,167.1,160.1,190.3,165.2,135.2,149.1,154.2,187.2,215.2,184.2,188.2}
@attribute a1 integer[0,4]
@attribute a2 integer[17,29]
@attribute a3 real[20.4305473975238,2379.67644060092]
@attribute a4 real[75.0742187975908,294.25071382905]
@attribute a5 real[0.234869620543479,0.332426243887181]
@attribute a6 integer[3,8]
@attribute a7 real[17.8100771955273,1422.0561256283]
@attribute a8 real[83.2241270146894,232.157275728028]
@attribute a9 integer[5,9]
@attribute a10 real[0.00892060660124889,0.614783966684019]
@attribute a11 real[8.72746265715349E-8,1.04121465852595E-6]
@attribute a12 real[1.0,1.02265114053278]
@attribute a13 real[-0.953132397033297,-0.0199393842718137]
@attribute a14 real[0.0,0.145785503443752]
@attribute a15 real[0.239081746920493,0.986626293212213]
@attribute a16 real[0.540803274494756,0.964720705585888]
@attribute a17 real[3.12625819591331E-5,1.03452800942325E-4]
@attribute a18 real[1.70271971840814E-5,6.16233872199255E-5]
@attribute a19 real[6.61114003123373,10.0]
@attribute a20 real[2.59330318955418E-7,1.74743366257069E-6]
@attribute a21 real[-0.760918253079507,-0.013373706787787]
@attribute a22 real[0.70626395019652,0.902341967169276]
@attribute a23 real[-0.459196725505244,-0.0352792944141117]
@attribute a24 real[0.0468676029667035,1.00271175626097]
@attribute a25 real[0.995264937993236,1.02265114053278]
@attribute a26 integer[0,14]
@attribute a27 real[-1.02265114053278,-0.854214496556248]
@attribute a28 real[6.05449041372351E-4,7.64150943396226E-4]
@attribute a29 integer[2,19]
@attribute a30 real[0.236274095079524,0.277436945486343]
@attribute a31 real[13578.4500514933,52934.525147929]
@attribute a32 real[0.546687687312687,0.864927822526015]
@attribute a33 real[1.74110522331567E-4,3.83451059535822E-4]
@attribute a34 real[3.06030603060306E-4,5.33333333333333E-4]
@attribute a35 real[4.2962962962963E-4,6.5546218487395E-4]
@attribute a36 integer[1,2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
﻿122.1,1,28,66.1645278220779,155.245160140181,0.298051385056071,5,46.9003814006262,167.149668908236,8,0.402129402129402,2.75352424167443E-7,1.0,-0.463801518438178,0.0563991323210412,0.250421788382743,0.704748132080019,5.23229335294317E-5,2.94316501103054E-5,9.82800982800983,3.09771477188374E-7,-0.749578211617257,0.892730673246474,-0.295251867919981,0.536198481561822,1.0,4,-0.943600867678959,6.66666666666667E-4,6,0.250430457935778,33551.3808353808,0.840337329542872,3.08333333333333E-4,4.33333333333333E-4,5.25E-4,1
118.1,1,23,79.5042951509687,166.838841498688,0.315024709347256,4,48.2425488190476,165.888322449219,6,0.441151566469094,2.62586499801305E-7,1.0,-0.498952074891714,0.0136928880815984,0.274592074592075,0.625407925407925,4.82779663993662E-5,2.89384484914463E-5,9.56816257408975,2.61090280429217E-7,-0.725407925407925,0.83331047762674,-0.374592074592075,0.501047925108286,1.0,3,-0.986307111918402,6.99115044247788E-4,2,0.249817327496125,34698.8780694327,0.751559452264721,2.92035398230089E-4,4.15929203539823E-4,5.84070796460177E-4,1
123.1,1,26,50.6570939006551,139.15386400708,0.308004785609388,4,41.7664628669936,155.204432781331,7,0.42323314378554,2.94393724327438E-7,1.0,-0.458613979943122,0.0350246969016614,0.370089051859612,0.685961236249345,5.39547052542905E-5,3.08335675289449E-5,9.58570268074736,4.74389887299376E-7,-0.629910948140388,0.886121851178441,-0.314038763750655,0.541386020056878,1.0,7,-0.964975303098339,6.4406779661017E-4,3,0.253500048683101,33291.7213647441,0.787472971197152,3.13559322033898E-4,4.66101694915254E-4,5.25423728813559E-4,1
113.2,1,23,53.7192201426327,135.257523207191,0.313065783191173,4,59.911697801298,152.863255960562,7,0.460247349823322,2.76408355212151E-7,1.0,-0.533072236727589,0.0438062082970699,0.426867545511613,0.651286880100439,5.70322572921072E-5,2.63569439705039E-5,9.38162544169611,5.81961809103135E-7,-0.573132454488387,0.791348787377465,-0.348713119899561,0.466927763272411,1.0,4,-0.95619379170293,7.06214689265537E-4,11,0.24382258195364,36205.3197879859,0.728768332761073,2.73069679849341E-4,4.14312617702448E-4,4.99058380414313E-4,1
138.2,2,23,53.2101663243319,128.424572092778,0.274478334807316,4,67.9448523382665,145.570336912727,7,0.463820549927641,2.91481701864904E-7,1.0,-0.31983926179491,0.131716029171008,0.425246440306681,0.699069003285871,5.99533643632375E-5,3.25866478128506E-5,9.19681620839363,7.11841676868424E-7,-0.574753559693319,0.802308297907793,-0.300930996714129,0.68016073820509,1.0,6,-0.868283970828992,7.00236034618411E-4,6,0.273354638606386,29657.6888567294,0.708827237999979,2.6750590086546E-4,4.0912667191188E-4,5.58615263571991E-4,1
121.1,1,26,51.7918051279932,154.768755096975,0.292425595632919,4,61.3124115148143,160.434088489047,8,0.247729149463254,2.7665106422358E-7,1.0,-0.34284622244872,0.0438272391387438,0.986626293212213,0.589957103204643,5.43304853931022E-5,2.74317382612898E-5,9.75227085053675,6.13848657654341E-7,-0.013373706787787,0.782017970028187,-0.410042896795357,0.65715377755128,1.0,10,-0.956172760861256,6.68924640135478E-4,5,0.255143176346427,33847.0421139554,0.777751021076314,2.62489415749365E-4,4.57239627434378E-4,5.16511430990686E-4,1
136.2,2,21,57.3767706019377,144.240602186144,0.291263083708863,4,52.3868345251967,137.828134788489,5,0.228340675477239,2.87947472902161E-7,1.0,-0.463519910888332,0.129768866610972,0.289274106175515,0.710455037919827,6.22689529841853E-5,3.20101607376235E-5,9.62555066079295,3.24140500919438E-7,-0.710725893824485,0.79661838505458,-0.289544962080173,0.536480089111668,1.0,3,-0.870231133389028,7.09382151029748E-4,3,0.277436945486343,30096.4625550661,0.74267565282434,2.82227307398932E-4,4.1952707856598E-4,5.720823798627E-4,1
137.2,1,25,2379.67644060092,294.25071382905,0.289398176590099,5,411.699514178252,161.489571013299,8,0.459912536443149,2.65415294458988E-7,1.0,-0.395181634712412,0.0426337033299697,0.526746087362766,0.674608736276571,5.04140263231315E-5,2.72228111363933E-5,9.11807580174927,9.27526566657754E-7,-0.473253912637234,0.796327527299961,-0.325391263723429,0.604818365287588,1.0,7,-0.95736629667003,6.79456434852118E-4,11,0.243345635538671,29878.9839650146,0.847525449159178,2.79776179056755E-4,3.83693045563549E-4,5.43565147881695E-4,1
127.1,1,17,40.6703761642321,122.904615737851,0.326365076580798,3,44.7471505738947,153.756972515793,5,0.46498819826908,2.93466792281412E-7,1.0,-0.434887256143907,0.0532049657968077,0.528374655647383,0.675757575757576,5.87814793388133E-5,2.70302470230418E-5,9.36270653029111,7.66274402068132E-7,-0.471625344352617,0.76237779833456,-0.324242424242424,0.565112743856093,1.0,0,-0.946795034203192,7.05882352941176E-4,3,0.241395513676775,32255.2627852085,0.770185773566558,3.02521008403361E-4,3.27731092436975E-4,6.5546218487395E-4,1
112.1,0,19,48.0874476215337,137.037211411405,0.305672625206413,3,38.3497700425117,136.308248404598,5,0.00892060660124889,3.26729542035917E-7,1.0,-0.953132397033297,0.0468676029667035,0.76536943034405,0.76536943034405,5.72222657667044E-5,3.20199075917207E-5,10.0,7.04311931081316E-7,-0.23463056965595,0.827395634182598,-0.23463056965595,0.0468676029667035,1.0,3,-0.953132397033297,7.13648528099911E-4,2,0.240659522556519,36573.2132024978,0.625266092003398,2.58697591436218E-4,4.10347903657449E-4,5.70918822479929E-4,1
99.2,1,23,69.4911357930899,159.34688553164,0.306165528992481,3,66.3792573929596,178.911891369793,9,0.454637096774194,3.23692690155035E-7,1.0,-0.466657915463376,0.0106327119978997,0.542455381287182,0.869659275283937,5.32143605005199E-5,2.58318069218853E-5,9.38508064516129,6.6257199007942E-7,-0.457544618712818,0.83243288397743,-0.130340724716063,0.533342084536624,1.0,2,-0.9893672880021,6.87432867883996E-4,3,0.260940629465835,36963.4052419355,0.754038142202989,3.00751879699248E-4,4.1890440386681E-4,5.58539205155746E-4,1
111.2,2,27,1395.68232331672,233.539462184191,0.317626521844396,4,1422.0561256283,232.157275728028,9,0.197841726618705,3.8204850660075E-7,1.0,-0.524250760098451,0.00419863906182134,0.660856782864343,0.964720705585888,4.26154971739102E-5,2.9381062334177E-5,8.91187050359712,6.18427816554579E-7,-0.339143217135657,0.902341967169276,-0.0352792944141117,0.475749239901549,1.0,4,-0.995801360938179,6.05449041372351E-4,4,0.256177576003352,32978.7365107914,0.694309759328734,3.83451059535822E-4,4.03632694248234E-4,5.85267406659939E-4,1
114.1,2,26,73.0189845465374,196.761469523657,0.301710941270285,4,77.2021589846615,159.451075454113,8,0.376862401402279,2.92732133409457E-7,1.0,-0.135541710986172,0.0309983285215013,0.340810419681621,0.905933429811867,3.82617526059701E-5,3.21396396301174E-5,9.2988606485539,5.30187720350639E-7,-0.659189580318379,0.880608730034863,-0.0940665701881331,0.864458289013828,1.0,5,-0.969001671478499,6.50329877474081E-4,2,0.24324069047791,32143.2156003506,0.690308560810651,3.20452403393025E-4,3.95852968897267E-4,6.0320452403393E-4,1
110.1,1,21,73.7791171840885,187.020560501254,0.32359115728179,5,63.8836555306778,154.234933670536,6,0.426884650317893,3.52372126042458E-7,1.0009096422074,-0.589599757428745,0.0,0.598856598380181,0.727965697951405,4.49517881181867E-5,2.8583399957611E-5,9.09173478655767,5.98473293437191E-7,-0.401143401619819,0.814892947930741,-0.272034302048595,0.411309884778654,1.0009096422074,3,-1.0009096422074,6.99300699300699E-4,2,0.240365199317393,33312.9264305177,0.682349302916916,2.8971028971029E-4,4.8951048951049E-4,5.09490509490509E-4,1
