@relation USER25
@attribute a0{﻿192.2,204.1,226.2,222.1,201.1,231.2,229.2,239.1,234.2,216.2,239.2,218.2,223.2,225.2,211.2,224.1,228.2,233.2,219.2,318.2,339.2,366.1,386.4,440.1,499.5,696.6,646.7,265.2,266.2,315.2,286.3,291.3,300.3,286.1,202.2,244.1,216.1,211.1}
@attribute a1 integer[1,6]
@attribute a2 integer[34,64]
@attribute a3 real[11.732254259439,94.0742820902985]
@attribute a4 real[50.7797880475418,158.437374592169]
@attribute a5 real[0.156633915966512,0.257196946878816]
@attribute a6 integer[6,19]
@attribute a7 real[7.18435544456544,61.0044847696728]
@attribute a8 real[29.7758605471134,140.633314721245]
@attribute a9 integer[9,19]
@attribute a10 real[0.104922923918449,0.613112726148137]
@attribute a11 real[1.83446414618136E-5,2.42895644330795E-4]
@attribute a12 real[1.0,1.00696643445218]
@attribute a13 real[-0.848913043478261,-0.162066306861989]
@attribute a14 real[0.0,0.141557440246723]
@attribute a15 real[0.278594478307637,0.908072487644152]
@attribute a16 real[0.628096582000627,0.978573525095392]
@attribute a17 real[0.00246731422281162,0.0262927378395855]
@attribute a18 real[0.00154155919472702,0.0171416206561862]
@attribute a19 real[4.9945879078398,9.40448113207547]
@attribute a20 real[2.59657608926406E-5,1.74111037086676E-4]
@attribute a21 real[-0.721405521692363,-0.0919275123558484]
@attribute a22 real[0.810868697564303,1.10947584818445]
@attribute a23 real[-0.371903417999373,-0.0214264749046082]
@attribute a24 real[0.151086956521739,0.837933693138011]
@attribute a25 real[1.0,1.00696643445218]
@attribute a26 integer[5,83]
@attribute a27 real[-1.00696643445218,-0.858442559753277]
@attribute a28 real[4.37017994858612E-4,7.53926701570681E-4]
@attribute a29 integer[5,74]
@attribute a30 real[0.236581889938415,0.312366926037713]
@attribute a31 real[59.8261556129773,572.518711511132]
@attribute a32 real[0.257469545920383,0.712982408599237]
@attribute a33 real[1.73202614379085E-4,4.27927927927928E-4]
@attribute a34 real[3.4402332361516E-4,5.10526315789474E-4]
@attribute a35 real[3.91634980988593E-4,5.72222222222222E-4]
@attribute a36 integer[1,2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
﻿192.2,4,43,56.2212445553082,113.027662338537,0.222124712706833,11,42.0900442304567,79.6356845381728,11,0.125390218522373,4.9697180529361E-5,1.0,-0.483560545308741,0.0118283881315156,0.773464003015454,0.94082171127026,0.00753924773752428,0.00400994872647392,8.6888657648283,4.73400020062292E-5,-0.226535996984546,0.93513705219929,-0.0591782887297399,0.516439454691259,1.0,13,-0.988171611868484,6.2874251497006E-4,7,0.305638246027157,355.891259105099,0.49319595584593,3.17365269461078E-4,4.55089820359281E-4,5.26946107784431E-4,1
204.1,2,49,45.3817796507833,110.774147076502,0.256546980988611,14,44.1498747245783,79.3178344060617,10,0.235668789808917,4.78659671919754E-5,1.0,-0.659007352941177,0.0264705882352941,0.883257030739045,0.977763243950294,0.00740545053570814,0.00416284333422711,9.16217540421362,5.28824877710471E-5,-0.116742969260955,0.899743492412135,-0.0222367560497057,0.340992647058824,1.0,11,-0.973529411764706,5.3475935828877E-4,10,0.311092952649384,337.216560509554,0.498057990644808,4.17112299465241E-4,4.54545454545455E-4,5.02673796791444E-4,1
226.2,4,51,63.5025962904236,119.885560621269,0.244956482235797,15,48.7642225017748,82.6531150364525,10,0.203801945181256,4.95748706744458E-5,1.0,-0.657692307692308,0.0148076923076923,0.579234972677596,0.80295724847316,0.00667468027344853,0.00399325583282661,7.91335101679929,4.4276792892444E-5,-0.420765027322404,0.870190170184893,-0.19704275152684,0.342307692307692,1.0,10,-0.985192307692308,6.08938547486034E-4,11,0.307233458775751,306.142793987622,0.500711712368448,3.63128491620112E-4,4.74860335195531E-4,4.91620111731844E-4,1
222.1,3,48,62.1322376711337,123.139793015964,0.237919344623309,12,44.4178907590071,92.2132967514242,12,0.229626294461954,4.66611280248413E-5,1.0,-0.652789773708758,0.00742788046294697,0.761738455568491,0.815289095847885,0.00790794763429149,0.00352025929410419,7.83430886987843,3.58163398600464E-5,-0.23826154443151,0.916686581820664,-0.184710904152115,0.347210226291242,1.0,12,-0.992572119537053,5.91954022988506E-4,8,0.291744117933297,313.769473210266,0.552808292095134,3.62068965517241E-4,4.77011494252874E-4,5.0E-4,1
201.1,3,56,94.0742820902985,129.022615014072,0.245511309274835,17,49.8934097550059,80.0860740239349,11,0.104922923918449,4.20500622479577E-5,1.0,-0.62391386475255,0.011144692104269,0.829033367733058,0.857929136566908,0.00768024786740735,0.0042173178221672,9.19940328194928,3.88050413670864E-5,-0.170966632266942,0.909114020092829,-0.142070863433093,0.37608613524745,1.0,17,-0.988855307895731,5.78378378378378E-4,12,0.305407154865087,348.726006961711,0.517254255273882,3.45945945945946E-4,4.86486486486487E-4,4.64864864864865E-4,1
231.2,3,47,58.1903717916046,120.603647200419,0.256467771980301,14,56.126353157822,90.3089857951844,10,0.272923875432526,4.5456798513746E-5,1.0,-0.655761482675262,0.0151490733279613,0.908072487644152,0.898187808896211,0.00654128572747724,0.00319948463866131,7.52595155709343,3.10045011601909E-5,-0.0919275123558484,0.885770154353628,-0.101812191103789,0.344238517324738,1.0,10,-0.984850926672039,6.09195402298851E-4,11,0.29885954752127,305.343858131488,0.604130920457916,3.5632183908046E-4,4.94252873563218E-4,4.6551724137931E-4,1
229.2,2,53,52.4320376755083,115.181005133371,0.252774499350137,13,38.4713849881852,80.319022553957,12,0.31457242582897,5.94934592052809E-5,1.0,-0.660155603376924,0.00910445290514816,0.889128869690425,0.880489560835133,0.00789391254969997,0.00363007599123763,8.28970331588133,5.79986486724849E-5,-0.110871130309575,0.840391738830838,-0.119510439164867,0.339844396623076,1.0,12,-0.990895547094852,6.05263157894737E-4,8,0.312366926037713,310.114310645724,0.547338913420769,3.47368421052632E-4,5.10526315789474E-4,4.63157894736842E-4,1
239.1,3,58,61.2227696037899,108.315503630205,0.232041085114608,15,50.9461328095759,87.2279169991808,13,0.188205771643664,5.68055677128148E-5,1.0,-0.661879895561358,0.0,0.856438896189225,0.894546649145861,0.00760996795585044,0.00378014726788654,8.2392304475115,4.43726510058591E-5,-0.143561103810775,0.874769979027869,-0.105453350854139,0.338120104438642,1.0,15,-1.0,5.73604060913706E-4,15,0.285928072043161,299.29234629862,0.546747072235465,3.65482233502538E-4,4.36548223350254E-4,5.0253807106599E-4,1
234.2,2,55,68.6942366596001,127.554001734415,0.234044906722017,14,56.6358978030501,82.9051801167628,10,0.32066609735269,3.8040543989649E-5,1.0,-0.662149385439647,0.0,0.841543771572011,0.84374019454032,0.00665852753746651,0.00334395324013643,8.07429547395389,3.39032038578443E-5,-0.158456228427989,0.83264427736555,-0.15625980545968,0.337850614560353,1.0,21,-1.0,5.9227921734532E-4,17,0.296957283928192,307.461571306576,0.582259093114143,3.12004230565838E-4,4.28344791115812E-4,4.97091485986251E-4,1
216.2,3,52,56.5591760251334,115.495872765872,0.234584208470977,15,61.0044847696728,100.561120683799,11,0.217853839037928,4.66840298729442E-5,1.0,-0.848913043478261,0.00667701863354037,0.590296495956873,0.929582210242588,0.00698882577131605,0.00322093709460653,8.42275670675301,4.48460759409385E-5,-0.409703504043127,0.810868697564303,-0.0704177897574124,0.151086956521739,1.0,16,-0.99332298136646,5.7111477210324E-4,18,0.292582146928788,335.08834412581,0.543808730945169,3.62438220757825E-4,4.83250961010434E-4,4.39319055464031E-4,1
239.2,5,43,47.4854954045907,102.571082608374,0.233581276480316,9,28.5813506913858,60.3709900221754,11,0.117056856187291,1.93256769245493E-4,1.0,-0.538663373977466,0.0353449606420744,0.736993035641131,0.865219172470299,0.0262927378395855,0.00990593811798551,8.57023411371238,1.38529188574203E-4,-0.263006964358869,0.855385935926568,-0.134780827529701,0.461336626022534,1.0,20,-0.964655039357926,7.02439024390244E-4,12,0.2835126624759,112.892140468227,0.604865944052458,2.24390243902439E-4,4.29268292682927E-4,5.36585365853659E-4,1
218.2,5,45,51.93442875901,113.799256589196,0.198749708071352,11,33.7762438397812,66.0854033862136,11,0.119156736938588,1.54217054831671E-4,1.0,-0.503128699475731,0.0126839167935058,0.857974765448075,0.971206729213847,0.0183204472773179,0.00957694952379329,8.24931255728689,1.11167064260286E-4,-0.142025234551925,0.880111176663149,-0.0287932707861534,0.496871300524269,1.0,18,-0.987316083206494,6.83333333333333E-4,5,0.294827548860342,126.598075160403,0.49365577781611,2.44444444444444E-4,4.27777777777778E-4,5.72222222222222E-4,1
223.2,5,45,49.4022732455263,116.676005166848,0.222040790883702,12,28.3504586934806,64.8715500276196,10,0.121415770609319,1.67291475602066E-4,1.00696643445218,-0.529132362254591,0.0,0.759536275243082,0.93679880329095,0.0219681109734142,0.00923627810423107,8.10931899641577,1.07465384989407E-4,-0.240463724756918,0.853427369380341,-0.0632011967090501,0.477834072197593,1.00696643445218,10,-1.00696643445218,7.51381215469613E-4,7,0.299220733794351,125.408602150538,0.510164787629837,2.20994475138122E-4,4.47513812154696E-4,5.41436464088398E-4,1
222.1,3,53,61.6937189243153,109.783015842121,0.224342652121887,12,52.2707936820868,69.0025852435928,14,0.239081494822152,1.29434753608538E-4,1.0,-0.621662621359223,0.0209344660194175,0.507003891050584,0.862645914396887,0.0234125812879382,0.00912778123634728,9.14002701485817,1.4601260382441E-4,-0.492996108949416,0.818985306390432,-0.137354085603113,0.378337378640777,1.0,19,-0.979065533980582,7.29064039408867E-4,19,0.291034667885146,127.918955425484,0.539903346087845,1.92118226600985E-4,4.33497536945813E-4,4.87684729064039E-4,1
225.2,6,51,63.5413552680685,111.898682485054,0.220880204421351,13,35.1060734857079,61.2190582867852,11,0.128774422735346,1.66728262823509E-4,1.00123762376238,-0.399133663366337,0.0,0.628459900638751,0.87402413058907,0.0200162663576371,0.00871536443075114,8.39253996447602,9.72128959133815E-5,-0.371540099361249,0.858448634326156,-0.12597586941093,0.60210396039604,1.00123762376238,21,-1.00123762376238,7.03703703703704E-4,13,0.294368848349692,127.59458259325,0.558563007462561,2.16931216931217E-4,4.55026455026455E-4,5.07936507936508E-4,1
211.2,5,44,52.5332054739273,115.577035141266,0.231845270423758,10,35.6445008795586,64.2767359979801,10,0.128314393939394,1.44379883219687E-4,1.0,-0.469528274245532,0.0130383826545561,0.741099204977532,0.858624265468372,0.0187269641822866,0.00793687479920234,8.38068181818182,1.2806918511537E-4,-0.258900795022468,0.849610748713461,-0.141375734531628,0.530471725754468,1.0,15,-0.986961617345444,7.00564971751412E-4,8,0.286151924354877,137.849431818182,0.573165996004165,2.42937853107345E-4,4.46327683615819E-4,5.36723163841808E-4,1
224.1,4,39,48.0868847305632,112.869044835193,0.231374271515249,9,26.200398021895,69.3240702198252,10,0.120481927710843,1.70201066870661E-4,1.0054841968538,-0.467888584211286,0.0,0.728698752228164,0.86096256684492,0.0211692506986938,0.00852300103485521,8.74609549308344,1.05560243564382E-4,-0.271301247771836,0.839631826818764,-0.13903743315508,0.537595612642517,1.0054841968538,14,-1.0054841968538,7.24489795918367E-4,12,0.280225411066397,131.518518518519,0.58074160116216,2.24489795918367E-4,4.48979591836735E-4,5.10204081632653E-4,1
228.2,5,38,46.9988144591778,107.798753976241,0.221750775073567,8,23.5571719141783,53.7804530307943,10,0.118755477651183,1.67839795309648E-4,1.0,-0.501960784313725,0.00885984023238925,0.718761384335155,0.898724954462659,0.0205541076835305,0.00819477495879319,8.36985100788782,1.13614630671146E-4,-0.281238615664845,0.836012837030925,-0.101275045537341,0.498039215686275,1.0,9,-0.991140159767611,7.53926701570681E-4,7,0.289948827564455,130.911042944785,0.562196890250135,2.25130890052356E-4,4.65968586387435E-4,5.23560209424084E-4,1
233.2,5,42,53.2745801378384,113.739558023075,0.217089313055451,10,31.704482367206,69.4290811280612,10,0.124785591766724,1.72885450954E-4,1.0,-0.525564010145508,0.00854358563609665,0.719221737671922,0.896008050989601,0.0196025771293029,0.00780073186790173,8.57632933104631,8.99004344960798E-5,-0.280778262328078,0.830261724189415,-0.103991949010399,0.474435989854492,1.0,16,-0.991456414363903,7.05E-4,6,0.269570441005825,129.628644939966,0.613133156825482,2.4E-4,4.4E-4,5.55E-4,1
