@relation USER32
@attribute a0 {210.2, 232.2, 261.3, 265.4, 227.3, 211.1, 222.2, 217.2, 252.3, 245.3, 242.3, 243.3, 215.2, 237.2, 218.1, 225.1, 258.2, 221.2, 297.4, 232.3, 228.3, 215.3, 217, 214.1, 213, 243.2, 235.3, 273.4, 253.4, 274.2, 265.3, 276.4, 295.4, 271.4, 221.3, 224.3, 227.2, 235.2}
@attribute a1 integer [0, 4]
@attribute a2 integer [40, 66]
@attribute a3 real [19.7523216264384, 563.244629452282]
@attribute a4 real [51.16359537012, 128.155544391628]
@attribute a5 real [0.147948424667565, 0.217754403401746]
@attribute a6 integer [6, 19]
@attribute a7 real [22.8396686263825, 542.195848230155]
@attribute a8 real [55.6253122925142, 115.039271228719]
@attribute a9 integer [10, 16]
@attribute a10 real [0.00336247478143914, 0.725019364833462]
@attribute a11 real [1.50996226549286E-7, 1.27834541888167E-6]
@attribute a12 real [1.0, 1.00758725341426]
@attribute a13 real [-0.847743428665895, -0.0395381385584325]
@attribute a14 real [0.152256571334105, 0.524983454665784]
@attribute a15 real [0.220515633571037, 0.985154905335628]
@attribute a16 real [0.321446636317653, 1.00078822911193]
@attribute a17 real [4.86938791507341E-5, 2.37326026890753E-4]
@attribute a18 real [3.81485027765463E-5, 1.32342011260446E-4]
@attribute a19 real [8.86586284853052, 10.0]
@attribute a20 real [1.67198568952991E-7, 2.32747072393069E-6]
@attribute a21 real [-0.779484366428963, -0.0148450946643718]
@attribute a22 real [0.748262075120886, 0.842765765224194]
@attribute a23 real [-0.686140617096611, 0.0]
@attribute a24 real [0.152256571334105, 0.960461861441568]
@attribute a25 real [0.992469879518072, 1.0]
@attribute a26 integer [11, 50]
@attribute a27 real [-0.847743428665895, -0.475016545334216]
@attribute a28 real [4.87305487305487E-4, 6.47887323943662E-4]
@attribute a29 integer [5, 46]
@attribute a30 real [0.224329361737795, 0.300129477987871]
@attribute a31 real [10505.2295192959, 32803.391056137]
@attribute a32 real [0.346867755149616, 0.729918100009532]
@attribute a33 real [2.76995305164319E-4, 4.18899171943497E-4]
@attribute a34 real [3.94574599260173E-4, 4.88245931283906E-4]
@attribute a35 real [3.9004707464694E-4, 5.68807339449541E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
210.2, 3, 51, 50.2410257461048, 110.011794281167, 0.173126752687143, 10, 43.8881886447631, 95.9853108610082, 15, 0.205042816365366, 3.63631095643443E-7, 1.0, -0.413622086295255, 0.369151925938172, 0.619539987339101, 0.969824857564887, 4.86938791507341E-5, 3.81485027765463E-5, 9.03901046622265, 5.09787985285369E-7, -0.380460012660899, 0.753235090685983, -0.0301751424351129, 0.586377913704745, 1.0, 13, -0.630848074061828, 5.63157894736842E-4, 5, 0.258478440513825, 32803.391056137, 0.475410639171217, 3.89473684210526E-4, 4.42105263157895E-4, 5.52631578947369E-4, 1
232.2, 0, 54, 507.689340991393, 117.817345772797, 0.193700851429388, 12, 354.063890747063, 94.9088117657838, 14, 0.00430663221360896, 2.44826475966879E-7, 1.0, -0.688283828382838, 0.311716171617162, 0.96972972972973, 0.96972972972973, 8.60412873592574E-5, 5.25334592787545E-5, 10.0, 1.67198568952991E-7, -0.0302702702702703, 0.778003463973624, -0.0302702702702703, 0.311716171617162, 1.0, 21, -0.688283828382838, 5.55555555555556E-4, 20, 0.253963450889061, 29697.0129198966, 0.410617972344432, 3.57450473729544E-4, 4.73729543496985E-4, 4.43583118001723E-4, 1
265.4, 3, 61, 59.2000185661831, 117.251814643019, 0.165643332897492, 14, 60.3384700465542, 102.822909641516, 13, 0.0678221552373775, 3.90804132831176E-7, 1.0, -0.0850312850954597, 0.273544039788224, 0.701127004768097, 0.508669267446901, 6.81600014297141E-5, 5.04556789020858E-5, 8.86586284853052, 3.291995404637E-7, -0.298872995231903, 0.785800615280084, -0.491330732553099, 0.91496871490454, 1.0, 26, -0.726455960211776, 5.39736506587335E-4, 21, 0.238880269608694, 25985.4770158252, 0.467937221883792, 3.69740756481088E-4, 4.50488737781555E-4, 4.80237994050149E-4, 1
227.3, 3, 51, 563.244629452282, 128.155544391628, 0.170561468208904, 12, 298.184298372917, 94.900993536257, 14, 0.365596128464584, 3.00161330106383E-7, 1.0, -0.0395968322534197, 0.280417566594672, 0.72621359223301, 0.924056094929881, 5.84987557091042E-5, 4.88016077594849E-5, 9.03211614606247, 3.22911944368725E-7, -0.27378640776699, 0.814157841015894, -0.0759439050701187, 0.96040316774658, 1.0, 17, -0.719582433405328, 5.21188504627375E-4, 8, 0.279879845139545, 30342.8825340959, 0.433008350639589, 4.18899171943497E-4, 4.23770092547492E-4, 5.60155869459328E-4, 1
211.1, 2, 49, 46.3993677713327, 107.717727051947, 0.169116711051515, 12, 52.6992315601979, 106.445016730742, 12, 0.351018474656561, 3.29722425837143E-7, 1.0, -0.428523546170605, 0.48667672197084, 0.551925025329281, 0.971631205673759, 6.35492371499491E-5, 4.20466546452152E-5, 9.66366650876362, 4.25558701859012E-7, -0.448074974670719, 0.786192129903493, -0.0283687943262411, 0.571476453829395, 1.0, 11, -0.51332327802916, 5.63725490196078E-4, 7, 0.256635224884382, 32676.7683562293, 0.482289827672191, 3.92156862745098E-4, 4.85294117647059E-4, 4.90196078431373E-4, 1
222.2, 2, 52, 49.4893472550941, 87.6171151692676, 0.159350269332328, 13, 50.9438800631242, 90.7020994503259, 14, 0.162016201620162, 2.6200239228953E-7, 1.0, -0.0395381385584325, 0.394856543037089, 0.704486251808973, 0.983212735166425, 8.1040411164352E-5, 4.8984363291259E-5, 9.50495049504951, 2.95263275052343E-7, -0.295513748191027, 0.805173404996483, -0.0167872648335745, 0.960461861441568, 1.0, 22, -0.605143456962911, 5.25568181818182E-4, 15, 0.24930470552312, 31046.2844284428, 0.423707169570717, 3.88257575757576E-4, 4.40340909090909E-4, 5.06628787878788E-4, 1
252.3, 2, 64, 47.9112798953767, 109.971294566339, 0.158973150202197, 19, 43.2512988470107, 107.201627112217, 16, 0.559651208878319, 3.45206175753025E-7, 1.0, -0.187359928283281, 0.354549529359032, 0.645117231959936, 0.93284771226952, 7.54146228334243E-5, 4.94989448837939E-5, 9.67895362663496, 3.53296945497237E-7, -0.354882768040064, 0.779745097602839, -0.0671522877304803, 0.812640071716719, 1.0, 34, -0.645450470640968, 4.87305487305487E-4, 28, 0.242416853559509, 27344.920332937, 0.459216824501899, 3.89025389025389E-4, 4.21785421785422E-4, 4.79115479115479E-4, 1
218.1, 1, 51, 118.7986200796, 116.970303213173, 0.175006082347846, 11, 127.96854138568, 105.223797595058, 13, 0.53232462173315, 2.36565151704944E-7, 1.0, -0.409131284419968, 0.395452122934802, 0.500469483568075, 0.933098591549296, 6.76720716363096E-5, 5.12138968148302E-5, 9.99541494727189, 2.73222974799719E-7, -0.499530516431925, 0.810660927005917, -0.0669014084507042, 0.590868715580032, 1.0, 31, -0.604547877065198, 5.13761467889908E-4, 18, 0.252995924917307, 31645.8202659331, 0.432571618687399, 3.48623853211009E-4, 4.63302752293578E-4, 4.58715596330275E-4, 1
221.2, 0, 51, 111.776546536029, 120.932156510873, 0.167997568912378, 13, 124.193061418809, 106.768261059539, 13, 0.00452079566003617, 3.15976174110825E-7, 1.0, -0.602161785216178, 0.397838214783821, 0.891067538126362, 0.891067538126362, 6.62393451531412E-5, 5.30053337261015E-5, 10.0, 3.6266394653881E-7, -0.108932461873638, 0.809628714979892, -0.108932461873638, 0.397838214783821, 1.0, 18, -0.602161785216178, 5.24412296564195E-4, 13, 0.247273694360533, 31206.8440325497, 0.408664356185961, 3.97830018083183E-4, 4.88245931283906E-4, 4.56600361663653E-4, 1
297.4, 0, 66, 34.402953271319, 102.893064159268, 0.1532597447905, 16, 37.8090969511295, 98.9153932968798, 13, 0.00336247478143914, 3.42883006164807E-7, 1.0, -0.731121281464531, 0.268878718535469, 0.733125150132116, 0.733125150132116, 1.00920113585795E-4, 6.86712051091312E-5, 10.0, 3.70781623464306E-7, -0.266874849867884, 0.804410469512239, -0.266874849867884, 0.268878718535469, 1.0, 49, -0.731121281464531, 4.90921318090114E-4, 46, 0.224329361737795, 23212.200403497, 0.417840404904566, 3.5305985205111E-4, 4.64021519838601E-4, 3.9004707464694E-4, 1
215.3, 0, 44, 48.8283332677495, 83.5640275033303, 0.217034098665673, 12, 39.1341988850049, 75.4851385024599, 11, 0.00464468183929401, 8.75744122772341E-7, 1.0, -0.847743428665895, 0.152256571334105, 0.839336301092675, 0.839336301092675, 1.51082341187014E-4, 6.17167242640291E-5, 10.0, 8.12800013948079E-7, -0.160663698907325, 0.774896364486641, -0.160663698907325, 0.152256571334105, 1.0, 13, -0.847743428665895, 5.94519275429633E-4, 9, 0.294599573023609, 22645.4152345564, 0.466830546827942, 3.48351137947051E-4, 4.36600092893637E-4, 5.24849047840223E-4, 2
217, 0, 43, 26.0767401671199, 76.8673369076642, 0.217754403401746, 11, 25.0993020960035, 74.8068957486771, 11, 0.00460829493087558, 8.30769326968045E-7, 1.0, -0.84087705559906, 0.15912294440094, 0.955875928352993, 0.955875928352993, 1.68542009636269E-4, 6.04217165320941E-5, 10.0, 9.02460081071887E-7, -0.0441240716470074, 0.762156619909586, -0.0441240716470074, 0.15912294440094, 1.0, 16, -0.84087705559906, 6.22119815668203E-4, 11, 0.280927285779262, 22473.0069124424, 0.463564176921397, 3.04147465437788E-4, 4.19354838709677E-4, 5.29953917050691E-4, 2
214.1, 0, 40, 24.3550609913215, 72.5346770104914, 0.203848375506444, 10, 23.8617527595995, 69.0217225033415, 10, 0.00467071461933676, 8.49737548286467E-7, 1.0, -0.777897768178546, 0.222102231821454, 0.923173277661795, 0.923173277661795, 1.45846894968357E-4, 6.28695668555102E-5, 10.0, 1.09496382061075E-6, -0.0768267223382046, 0.778295503021698, -0.0768267223382046, 0.222102231821454, 1.0, 21, -0.777897768178546, 5.97851471275105E-4, 7, 0.280076330557081, 22779.7580569827, 0.477714732558588, 3.03596450256889E-4, 4.20364315740308E-4, 5.46473610462401E-4, 2
243.2, 3, 45, 22.9801414597457, 69.0892549140045, 0.171760512691305, 11, 33.8921752781089, 67.2980383434436, 12, 0.230674342105263, 7.343829906858E-7, 1.0, -0.381948266373143, 0.284351495138507, 0.44864, 0.69024, 1.66193808324159E-4, 9.52771328220505E-5, 9.08717105263158, 1.88002045615565E-6, -0.55136, 0.808308804258907, -0.30976, 0.618051733626858, 1.0, 18, -0.715648504861493, 5.56561085972851E-4, 12, 0.271579893405377, 12728.1237664474, 0.631932343843119, 3.75565610859729E-4, 4.38914027149321E-4, 5.20361990950226E-4, 2
273.4, 4, 48, 168.982640134662, 57.6044097527187, 0.191016803204764, 13, 226.250665466945, 73.5314310632269, 13, 0.223482077542063, 6.43116910559796E-7, 1.0, -0.207894266833363, 0.428826576174317, 0.397268408551069, 0.870843230403801, 1.76540174729499E-4, 1.06195268528122E-4, 8.89904901243599, 2.32747072393069E-6, -0.602731591448931, 0.823990650702726, -0.1291567695962, 0.792105733166637, 1.0, 22, -0.571173423825683, 5.2609946568023E-4, 26, 0.247914239594782, 11336.6506949525, 0.62539604805838, 4.02794903411426E-4, 3.94574599260173E-4, 5.17879161528977E-4, 2
274.2, 2, 44, 19.7523216264384, 55.9741047109785, 0.170118915178283, 10, 71.6951915597601, 78.0434927906108, 12, 0.178701677607586, 6.27735083316739E-7, 1.0, -0.442548921224285, 0.440876400735909, 0.256675279931094, 0.918748205569911, 1.91186154574332E-4, 1.11373369523733E-4, 9.67177242888403, 1.34274884131923E-6, -0.743324720068906, 0.79039684932203, -0.081251794430089, 0.557451078775715, 1.0, 29, -0.559123599264091, 5.69381598793364E-4, 26, 0.266678593569519, 11309.2217359592, 0.559909744334935, 3.31825037707391E-4, 4.22322775263952E-4, 4.90196078431373E-4, 2
