@relation USER4
@attribute a0 {344.5, 321.4, 323.4, 341.5, 399.6, 351.5, 354.5, 327.4, 337.5, 334.4, 396.5, 355.5, 376.5, 356.5, 362.5, 390.5, 366.6, 357.5, 364.5, 352.5, 495.7, 446.5, 535.7, 523.7, 355.4, 370.6, 346.5, 757, 670.8, 636.7, 669.7, 431.6, 382.5, 426.5, 399.4, 443.6, 387.5, 394.5, 400.6}
@attribute a1 integer [1, 10]
@attribute a2 integer [65, 117]
@attribute a3 real [15.9339249792838, 806.199929480731]
@attribute a4 real [40.7285445933715, 111.402553701961]
@attribute a5 real [0.18756915764133, 0.275180002770887]
@attribute a6 integer [14, 27]
@attribute a7 real [17.7910902845126, 1016.57248806624]
@attribute a8 real [48.2947676188154, 137.388526287683]
@attribute a9 integer [16, 32]
@attribute a10 real [0.1504004004004, 0.766244725738397]
@attribute a11 real [1.04887139414878E-7, 1.40432931234327E-6]
@attribute a12 real [1.0, 1.04712535344015]
@attribute a13 real [-0.272035510462904, -0.035059331175836]
@attribute a14 real [0.04183214191157, 0.109917253303693]
@attribute a15 real [0.386627906976744, 1.04576376004947]
@attribute a16 real [0.333926981300089, 0.826308139534884]
@attribute a17 real [2.00599748997391E-4, 8.58019974200865E-4]
@attribute a18 real [4.07612373548722E-5, 1.70445067716313E-4]
@attribute a19 real [7.05955955955956, 9.76425855513308]
@attribute a20 real [1.29707026867303E-7, 2.23100505262859E-6]
@attribute a21 real [-0.613372093023256, 0.0]
@attribute a22 real [0.6526717824325, 0.734788686988282]
@attribute a23 real [-0.666073018699911, -0.173691860465116]
@attribute a24 real [0.727964489537096, 0.964940668824164]
@attribute a25 real [0.954995499549955, 1.0]
@attribute a26 integer [15, 170]
@attribute a27 real [-0.95816785808843, -0.890082746696307]
@attribute a28 real [4.66704610130905E-4, 6.45340751043115E-4]
@attribute a29 integer [13, 147]
@attribute a30 real [0.253185566571012, 0.294628555909863]
@attribute a31 real [4513.47410832233, 18984.3403870968]
@attribute a32 real [0.597144068739643, 0.821769797628537]
@attribute a33 real [2.89290681502086E-4, 4.37616387337058E-4]
@attribute a34 real [3.92945544554455E-4, 4.97340425531915E-4]
@attribute a35 real [3.68404118404118E-4, 5.70570570570571E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
323.4, 3, 68, 265.418249667269, 72.7798403387115, 0.217769577988874, 17, 74.7291956507497, 87.5986219188294, 16, 0.287878787878788, 7.15518296078153E-7, 1.01956358164033, -0.182676473817104, 0.0777253266000659, 0.821670428893905, 0.513167795334838, 6.18440153236081E-4, 9.19954339263245E-5, 9.5299938157081, 9.81577445883387E-7, -0.197893152746426, 0.690942688162274, -0.506395786305493, 0.817323526182896, 0.980811808118081, 18, -0.922274673399934, 5.77547047371836E-4, 21, 0.266456273758378, 9826.26685219543, 0.67398978547869, 3.76378974691759E-4, 4.574951330305E-4, 4.86696950032446E-4, 1
327.4, 4, 68, 23.5805736493538, 63.9706640745316, 0.223946908119749, 18, 35.157209991327, 81.5463889953354, 16, 0.434331093463653, 1.14561846458165E-6, 1.0, -0.197907585004359, 0.0646251089799477, 0.680665610142631, 0.610935023771791, 6.059577297969E-4, 8.33389990195824E-5, 9.35247403787416, 2.01407117160323E-6, -0.319334389857369, 0.657307743783368, -0.389064976228209, 0.802092414995641, 1.0, 19, -0.935374891020052, 5.87851077726976E-4, 19, 0.274567159599713, 9713.46701282835, 0.713814609218347, 3.69039843239713E-4, 4.80078380143697E-4, 4.76812540822991E-4, 1
334.4, 6, 74, 325.607917822052, 79.5189835744447, 0.212662388321874, 18, 727.31512867573, 115.281297789157, 19, 0.446172248803828, 2.06595948580469E-7, 1.0, -0.095493670886076, 0.0731139240506329, 0.883507853403141, 0.454842931937173, 5.44484433724463E-4, 8.42503508588334E-5, 8.92045454545455, 1.16210221076514E-6, -0.116492146596859, 0.672558105708094, -0.545157068062827, 0.904506329113924, 1.0, 18, -0.926886075949367, 5.90010056989608E-4, 26, 0.267139579787596, 9513.8125, 0.710553853571043, 3.82165605095541E-4, 4.52564532349983E-4, 4.92792490781093E-4, 1
396.5, 3, 71, 24.4595443593211, 49.9896399771518, 0.269354547308085, 18, 25.413287876834, 65.6714303609932, 16, 0.174274905422446, 4.91464368252776E-7, 1.0, -0.261420392252406, 0.0495797295651115, 0.826132771338251, 0.580611169652266, 5.14024084596113E-4, 5.94236638179695E-5, 9.51828499369483, 8.79286590819592E-7, -0.173867228661749, 0.702207858727044, -0.419388830347734, 0.738579607747594, 1.0, 41, -0.950420270434889, 5.53789083200848E-4, 49, 0.268040924597532, 16027.5936948298, 0.660525391376507, 3.52411234764176E-4, 4.29252782193959E-4, 4.55749867514573E-4, 1
355.5, 1, 70, 138.406095049496, 55.2040036544908, 0.223738961722518, 17, 23.8476183887272, 71.17408099309, 18, 0.766244725738397, 6.75308020907181E-7, 1.0, -0.209575858381846, 0.0736604490911251, 0.97338065661047, 0.623779946761313, 3.9416177230242E-4, 5.27765614096267E-5, 9.68776371308017, 4.96091661512583E-7, -0.0266193433895297, 0.704649954019882, -0.376220053238687, 0.790424141618154, 1.0, 26, -0.926339550908875, 5.74912891986063E-4, 27, 0.282515121126157, 17880.3828410689, 0.681899307440826, 3.60046457607433E-4, 4.47154471544715E-4, 4.84901277584204E-4, 1
376.5, 6, 75, 22.5303597343977, 51.5590725017571, 0.227396738450964, 18, 29.0386165575448, 74.0296939982315, 19, 0.345816733067729, 4.95117794249404E-7, 1.04712535344015, -0.109690113133301, 0.0782095425479587, 0.745523091423186, 0.58435438265787, 3.79073948452652E-4, 5.17893699865835E-5, 8.55776892430279, 8.7140731787895E-7, -0.301602262016965, 0.711426854750179, -0.462770970782281, 0.890309886866699, 0.954995499549955, 17, -0.921790457452041, 5.3072625698324E-4, 29, 0.273308207357158, 16884.4164674635, 0.638395476096595, 4.37616387337058E-4, 3.94165114835506E-4, 5.36933581626319E-4, 1
356.5, 1, 73, 210.095945655484, 57.0463462067723, 0.235053888072958, 20, 594.100048775007, 96.0097072622517, 17, 0.764095371669004, 1.04887139414878E-7, 1.0, -0.272035510462904, 0.071147748890298, 0.914460285132383, 0.669042769857434, 4.58786174294389E-4, 5.71373523344438E-5, 9.71669004207574, 3.17219641157191E-7, -0.0855397148676171, 0.707501167066535, -0.330957230142566, 0.727964489537096, 1.0, 21, -0.928852251109702, 5.65819861431871E-4, 30, 0.273979578882009, 17833.6516129032, 0.597144068739643, 3.83949191685912E-4, 4.47459584295612E-4, 4.76327944572748E-4, 1
390.5, 6, 78, 19.1261538097909, 43.5628673318956, 0.211941790987932, 20, 27.4243706828874, 63.4652794749701, 20, 0.346222791293214, 7.19926745027393E-7, 1.0, -0.0943396226415094, 0.072628586197984, 0.809760956175299, 0.775896414342629, 4.23156304969647E-4, 5.49042297996285E-5, 8.58642765685019, 1.25452581311704E-6, -0.190239043824701, 0.716730309713817, -0.224103585657371, 0.905660377358491, 1.0, 22, -0.927371413802016, 5.48762302415747E-4, 33, 0.277743887963706, 16283.547503201, 0.634558797313885, 4.08589322994333E-4, 3.96659707724426E-4, 5.27885475693409E-4, 1
366.6, 5, 70, 15.9339249792838, 40.7285445933715, 0.210097534951115, 17, 29.4944861415546, 62.9312934282688, 19, 0.174849972722313, 5.9256223795193E-7, 1.0, -0.0836642838231401, 0.04183214191157, 0.820378151260504, 0.59453781512605, 4.22462019057494E-4, 5.32411758197954E-5, 8.81614839061647, 1.1522043515732E-6, -0.179621848739496, 0.707849298977642, -0.40546218487395, 0.91633571617686, 1.0, 20, -0.95816785808843, 5.60024752475248E-4, 29, 0.281775444689821, 17346.6969448991, 0.604519211675566, 3.92945544554455E-4, 3.92945544554455E-4, 5.32178217821782E-4, 1
352.5, 3, 74, 536.257612874389, 74.7162630264053, 0.206232180217235, 16, 435.880282591708, 80.0040932361525, 20, 0.446241134751773, 4.30064617578266E-7, 1.0, -0.0798381162619573, 0.0526122148638705, 0.899376669634906, 0.333926981300089, 3.66952730688775E-4, 5.05381305572105E-5, 9.06099290780142, 1.3165243395253E-6, -0.100623330365093, 0.711323125042332, -0.666073018699911, 0.920161883738043, 1.0, 23, -0.94738778513613, 5.97996242955542E-4, 22, 0.279294701680633, 18045.8717730496, 0.685943450594429, 3.47526612398247E-4, 4.38321853475266E-4, 5.10331872260488E-4, 1
