@relation USER8
@attribute a0 {189.3, 189.3, 185.3, 188.3, 187.2, 181.2, 187.3, 191.3, 180.2, 174.2, 182.2, 176.3, 183.2, 235.3, 240.3, 211.3, 261.3, 226.3, 212.3, 223.3, 207.2, 314.3, 312.4, 317.3, 284.4, 197.3, 235.4, 234.3, 225.4, 245.2, 227.3, 221.3}
@attribute a1 integer [3, 5]
@attribute a2 integer [31, 45]
@attribute a3 real [26.2927166098784, 2001.47284048862]
@attribute a4 real [73.0177059399602, 239.356368623317]
@attribute a5 real [0.16502068159521, 0.229733586992617]
@attribute a6 integer [7, 13]
@attribute a7 real [19.4186255636609, 796.581158266084]
@attribute a8 real [55.9499180459231, 106.505137783559]
@attribute a9 integer [8, 11]
@attribute a10 real [0.154994259471871, 0.294180459156434]
@attribute a11 real [7.54052490983052E-8, 1.52563971617008E-6]
@attribute a12 real [1.0, 1.04368932038835]
@attribute a13 real [-0.318684649189271, -0.0254930254930255]
@attribute a14 real [0.0760395463797616, 0.304496023372829]
@attribute a15 real [0.315923104824084, 0.648686030428769]
@attribute a16 real [0.35936867664913, 0.74617067833698]
@attribute a17 real [5.29468869330582E-5, 2.20837162975592E-4]
@attribute a18 real [2.42177480632369E-5, 8.52353962361935E-5]
@attribute a19 real [6.58606426980592, 8.59583555792846]
@attribute a20 real [8.04745095418888E-8, 1.8724100591189E-6]
@attribute a21 real [-0.694232861806311, -0.359612724757953]
@attribute a22 real [0.721303435554632, 0.842396449853644]
@attribute a23 real [-0.64063132335087, -0.25382932166302]
@attribute a24 real [0.681315350810729, 0.974506974506975]
@attribute a25 real [0.958139534883721, 1.0]
@attribute a26 integer [1, 22]
@attribute a27 real [-0.923960453620238, -0.695503976627171]
@attribute a28 real [4.375E-4, 5.76923076923077E-4]
@attribute a29 integer [2, 18]
@attribute a30 real [0.250994257233199, 0.311136523072831]
@attribute a31 real [10951.5430192247, 40111.2404164695]
@attribute a32 real [0.515525643365578, 0.655889669928193]
@attribute a33 real [3.6697247706422E-4, 5.41666666666667E-4]
@attribute a34 real [3.2E-4, 4.38095238095238E-4]
@attribute a35 real [5.4875061244488E-4, 6.74292594822396E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
185.3, 4, 33, 42.5754816586041, 114.548660674349, 0.18779386906331, 7, 43.3526610360037, 87.654928414531, 10, 0.162439287641662, 8.15499363058221E-7, 1.0, -0.168867055572613, 0.191740865827449, 0.324289818065752, 0.531758697733801, 1.09443502454576E-4, 5.26383931824049E-5, 8.04641122504047, 9.13571334130228E-7, -0.675710181934248, 0.782608338887572, -0.468241302266199, 0.831132944427387, 1.0, 7, -0.808259134172551, 5.49966465459423E-4, 2, 0.274959885513456, 17875.9757150567, 0.608809453586561, 4.29242119382964E-4, 3.48759221998659E-4, 6.63983903420523E-4, 1
191.3, 4, 34, 39.2681507522676, 106.319060059606, 0.166482699916046, 8, 38.8827116741029, 83.4295461098873, 10, 0.167799268165186, 7.42784532195083E-7, 1.0, -0.106812447434819, 0.252649285113541, 0.471959858323495, 0.565230224321133, 1.08742953945915E-4, 6.19715942756537E-5, 8.10245687401986, 8.5070149116035E-7, -0.528040141676505, 0.808000953813762, -0.434769775678867, 0.893187552565181, 1.0, 7, -0.747350714886459, 5.29032258064516E-4, 9, 0.26276808032472, 17322.1547307893, 0.553563610595823, 4.58064516129032E-4, 3.67741935483871E-4, 6.06451612903226E-4, 1
189.3, 4, 31, 45.5539713482714, 114.181479690663, 0.187019073441649, 7, 37.6002080298279, 95.2041181178987, 9, 0.169572107765452, 7.82843941208399E-7, 1.0, -0.146891738354163, 0.304496023372829, 0.40957618893562, 0.536395988353284, 1.22874334039685E-4, 6.16465779121355E-5, 8.24088748019017, 6.63390914756981E-7, -0.59042381106438, 0.814014621130191, -0.463604011646716, 0.853108261645837, 1.0, 3, -0.695503976627171, 5.38461538461538E-4, 8, 0.250994257233199, 17508.4685684099, 0.551015794618418, 4.74358974358974E-4, 3.65384615384615E-4, 6.15384615384615E-4, 1
180.2, 4, 38, 42.1571899311499, 118.6924780405, 0.177817078802824, 9, 43.5442425326248, 103.248494028615, 10, 0.189234184239734, 1.34039160730124E-6, 1.0, -0.109167249825052, 0.174107767669699, 0.474404761904762, 0.540178571428571, 1.68326856756178E-4, 7.91572062562291E-5, 8.04661487236404, 1.26110341523E-6, -0.525595238095238, 0.77170030214555, -0.459821428571429, 0.890832750174948, 1.0, 6, -0.825892232330301, 5.31034482758621E-4, 2, 0.280120066331534, 12111.5788013319, 0.597795223978429, 4.55172413793103E-4, 4.27586206896552E-4, 5.86206896551724E-4, 1
174.2, 4, 36, 39.9308618124568, 100.54432261261, 0.207209530100868, 8, 40.4821634765568, 88.4113270941126, 11, 0.189437428243398, 1.52563971617008E-6, 1.0, -0.107971125787129, 0.162647826754723, 0.486134453781513, 0.580672268907563, 2.19711349881217E-4, 8.03122427764239E-5, 7.87026406429392, 1.8724100591189E-6, -0.513865546218487, 0.784994827879472, -0.419327731092437, 0.892028874212871, 1.0, 3, -0.837352173245277, 5.25164113785558E-4, 6, 0.280552940522209, 12532.0918484501, 0.555258213606739, 4.74106491611962E-4, 3.57403355215171E-4, 6.1998541210795E-4, 1
174.2, 4, 35, 42.417043109204, 112.35814461658, 0.204071724955048, 7, 44.6552451590625, 99.5522944550063, 10, 0.154994259471871, 1.37288613720393E-6, 1.0, -0.139565600234811, 0.18579395362489, 0.568198395331875, 0.74617067833698, 1.99137584820512E-4, 8.0134320161116E-5, 7.92766934557979, 1.46576907327055E-6, -0.431801604668125, 0.783477902718415, -0.25382932166302, 0.860434399765189, 1.0, 2, -0.81420604637511, 5.4308472121651E-4, 5, 0.27231293610953, 12535.4431687715, 0.5901045717106, 4.70673425054308E-4, 4.12744388124547E-4, 5.79290369297611E-4, 1
182.2, 4, 34, 39.0842641839975, 105.870549010543, 0.198892297918123, 7, 39.3795825523376, 97.769810684342, 10, 0.181119648737651, 1.30808552789298E-6, 1.0, -0.128948573172593, 0.196245994201129, 0.483224064789819, 0.599305823370613, 2.07038712496166E-4, 8.19245202964379E-5, 7.84851811196487, 1.65545561908259E-6, -0.516775935210181, 0.787310383829096, -0.400694176629387, 0.871051426827407, 1.0, 2, -0.803754005798871, 5.03496503496503E-4, 3, 0.268434532470248, 11987.6942919868, 0.584006815408349, 5.10489510489511E-4, 3.84615384615385E-4, 6.22377622377622E-4, 1
176.3, 4, 34, 43.1277325152348, 115.070880785005, 0.209821467692577, 7, 51.6801168656083, 99.6546609776632, 10, 0.159387407827567, 1.20348683327143E-6, 1.0, -0.124015173621243, 0.149255908958273, 0.452133381140194, 0.72857655073503, 2.09024389400029E-4, 8.50552993925709E-5, 7.94100964265457, 1.81566777347313E-6, -0.547866618859806, 0.803984705299652, -0.27142344926497, 0.875984826378757, 1.0, 1, -0.850744091041727, 5.64285714285714E-4, 3, 0.275833416053835, 12394.9376063528, 0.554471518962281, 4.64285714285714E-4, 4.0E-4, 6.14285714285714E-4, 1
181.2, 4, 34, 42.3225164397489, 108.086859206592, 0.196377693224788, 8, 45.0630098114132, 99.1524913127343, 10, 0.160044150110375, 1.50920186202308E-6, 1.0, -0.113582649798415, 0.161963019602391, 0.518720748829953, 0.570982839313573, 2.13743951076507E-4, 7.61906701738028E-5, 7.95253863134658, 1.51521461844548E-6, -0.481279251170047, 0.763625684470049, -0.429017160686427, 0.886417350201585, 1.0, 1, -0.838036980397609, 5.20471894517696E-4, 10, 0.269655578569996, 12064.9988962472, 0.595905572563808, 4.92713393476752E-4, 3.53920888272033E-4, 5.96807772380291E-4, 1
180.2, 4, 35, 44.1578287701824, 121.994397902037, 0.199352749441197, 8, 47.6219770652513, 105.020462751988, 10, 0.177580466148724, 1.25591235150195E-6, 1.0, -0.130130658571994, 0.16589679292596, 0.400825134877817, 0.60456997778483, 1.88219450888533E-4, 7.82736557674235E-5, 7.94117647058824, 1.54389887581159E-6, -0.599174865122183, 0.775252801310055, -0.39543002221517, 0.869869341428006, 1.0, 3, -0.83410320707404, 5.3109713487072E-4, 8, 0.273303262317797, 12190.2547169811, 0.603499843586672, 4.82180293501048E-4, 3.7037037037037E-4, 6.07966457023061E-4, 1
235.3, 3, 43, 32.4471373716893, 87.237803751931, 0.193283025632941, 12, 25.2564624969203, 62.3139706284314, 11, 0.225669358266043, 3.5557416985452E-7, 1.0, -0.0562681717119891, 0.177355909013169, 0.513344453711426, 0.53836530442035, 7.75976124137897E-5, 3.18247091787699E-5, 8.32979175520612, 3.84365600611971E-7, -0.486655546288574, 0.830763217199889, -0.46163469557965, 0.943731828288011, 1.0, 20, -0.822644090986831, 4.64285714285714E-4, 16, 0.29432688137379, 36013.8589035274, 0.62514620707149, 4.54081632653061E-4, 3.77551020408163E-4, 5.61224489795918E-4, 2
226.3, 5, 40, 37.2689474084385, 100.46149483036, 0.212863885143672, 12, 36.3028564509542, 80.1941098128205, 8, 0.194874060980999, 4.00382657698499E-7, 1.0, -0.147159175196558, 0.200118676754191, 0.458947368421053, 0.607368421052632, 7.23723262947224E-5, 3.05980017712444E-5, 7.1586389748122, 7.27552486560701E-7, -0.541052631578947, 0.790036544175309, -0.392631578947368, 0.852840824803442, 1.0, 14, -0.799881323245809, 5.06172839506173E-4, 7, 0.254789414011483, 30077.530711445, 0.529393699991805, 4.38271604938272E-4, 3.2716049382716E-4, 6.60493827160494E-4, 2
212.3, 4, 42, 41.2191130636442, 106.486938451252, 0.227667585125646, 11, 39.1293123438277, 88.8340776154803, 11, 0.221855864342911, 4.44363410840838E-7, 1.0, -0.253585397653194, 0.265482398956975, 0.493817619783617, 0.647217928902628, 6.99333229450657E-5, 2.94959973568823E-5, 7.49411210551107, 5.98721227238182E-7, -0.506182380216383, 0.795399421032595, -0.352782071097372, 0.746414602346806, 1.0, 9, -0.734517601043025, 4.90257699560025E-4, 9, 0.254227341262472, 32074.4338200659, 0.544914070037817, 4.77686989314896E-4, 3.2683846637335E-4, 6.41106222501571E-4, 2
207.2, 5, 36, 41.0062568928368, 102.111776251856, 0.22862872732696, 8, 46.9205932680639, 91.9728979959859, 10, 0.197876447876448, 3.58046536318088E-7, 1.0, -0.0840883802257193, 0.225401367032268, 0.390861027190332, 0.669184290030212, 6.82695227292305E-5, 2.87359237302499E-5, 7.38416988416988, 7.67242577824473E-7, -0.609138972809668, 0.80743029882524, -0.330815709969789, 0.915911619774281, 1.0, 13, -0.774598632967732, 4.44444444444444E-4, 5, 0.265089547359874, 32878.7538610039, 0.544244090021706, 5.03267973856209E-4, 3.26797385620915E-4, 6.73202614379085E-4, 2
312.4, 4, 44, 32.9549056979089, 108.808058423734, 0.228784652576526, 13, 19.4186255636609, 55.9499180459231, 10, 0.185979513444302, 1.27415920019807E-6, 1.0, -0.217485661137808, 0.107115175941714, 0.477477477477477, 0.571345539087475, 1.2242925859898E-4, 6.53044611438674E-5, 6.91741357234315, 9.65080978367846E-7, -0.522522522522523, 0.744855039221559, -0.428654460912525, 0.782514338862192, 1.0, 20, -0.892884824058286, 5.2753354928274E-4, 11, 0.287425696812068, 11121.3114596671, 0.653145354255791, 3.9796390559926E-4, 3.6557149467839E-4, 6.01573345673299E-4, 2
284.4, 4, 41, 40.2606809514102, 110.932415789317, 0.222572545456731, 13, 26.7496273685513, 68.0314656833422, 9, 0.221870604781997, 1.13674781917622E-6, 1.0, -0.318684649189271, 0.122442794362782, 0.408454727220794, 0.605826906598115, 1.29552236461386E-4, 6.87319866421144E-5, 7.38396624472574, 7.68619521862927E-7, -0.591545272779206, 0.731374931725158, -0.394173093401885, 0.681315350810729, 1.0, 10, -0.877557205637218, 5.47619047619048E-4, 6, 0.256636529273609, 12220.2651195499, 0.525841626699801, 4.23809523809524E-4, 4.38095238095238E-4, 5.52380952380952E-4, 2
