@relation USER10
@attribute a0 {154.2, 159.2, 152.2, 147.1, 140.1, 140.2, 141.2, 142.2, 155.2, 173.2, 156.2, 144.2, 150.2, 197.2, 193.3, 181.2, 179.2, 194.3, 198.3, 234.3, 233.3, 177.3, 176.3, 275.4, 231.3, 214.3, 213.3, 254.3, 235.4, 215.2, 228.3}
@attribute a1 integer [2, 5]
@attribute a2 integer [27, 44]
@attribute a3 real [30.1059637014294, 1499.93992179146]
@attribute a4 real [78.7256792825825, 190.524139815055]
@attribute a5 real [0.202070534580688, 0.298697239008838]
@attribute a6 integer [7, 13]
@attribute a7 real [21.1418318800595, 1145.39163576055]
@attribute a8 real [58.4294227355143, 143.089175236343]
@attribute a9 integer [5, 12]
@attribute a10 real [0.105124835742444, 0.671184022824536]
@attribute a11 real [7.02367056916728E-8, 2.73103802503179E-6]
@attribute a12 real [1.0, 1.06518513462443]
@attribute a13 real [-0.20479962721342, 0.0]
@attribute a14 real [0.0, 0.119435996682333]
@attribute a15 real [0.305719237435009, 0.93302034428795]
@attribute a16 real [0.733048719236565, 1.05700264250661]
@attribute a17 real [2.66049742088575E-5, 2.31731502536117E-4]
@attribute a18 real [1.93047061345284E-5, 1.89915981898154E-4]
@attribute a19 real [4.46049277824979, 8.78031383737518]
@attribute a20 real [1.44771096625878E-7, 2.59160869897096E-6]
@attribute a21 real [-0.694280762564991, -0.0669796557120501]
@attribute a22 real [0.670846996888751, 0.932051311229065]
@attribute a23 real [-0.266951280763435, 0.0]
@attribute a24 real [0.79520037278658, 1.00774122200719]
@attribute a25 real [0.953395177534658, 1.01986754966887]
@attribute a26 integer [1, 53]
@attribute a27 real [-1.01986754966887, -0.885135135135135]
@attribute a28 real [4.54914703493095E-4, 6.33587786259542E-4]
@attribute a29 integer [0, 44]
@attribute a30 real [0.296172236882937, 0.35053599126432]
@attribute a31 real [8577.59653952025, 47556.9207589286]
@attribute a32 real [0.1681385612032, 0.716198591426832]
@attribute a33 real [2.92104062072113E-4, 5.19902518277823E-4]
@attribute a34 real [2.24260958205912E-4, 3.75302663438257E-4]
@attribute a35 real [4.42720219078047E-4, 8.1E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
152.2, 4, 32, 70.7856039970447, 139.685706102499, 0.239863288757214, 9, 42.94387884689, 101.137189185099, 7, 0.183968462549277, 1.91833544662542E-6, 1.03312135665077, -0.109166365932876, 0.017502706604114, 0.529676735559088, 1.03312135665077, 1.38806501976995E-4, 9.76554585363232E-5, 7.6281208935611, 9.15826156247498E-7, -0.50344462109168, 0.852211276522651, 0.0, 0.890833634067124, 0.967940497563478, 3, -0.982497293395886, 6.02928509905254E-4, 2, 0.303476756869562, 11449.3712220762, 0.420485994951492, 4.04823428079242E-4, 2.4978466838932E-4, 7.66580534022395E-4, 1
141.2, 4, 31, 62.0352959792181, 145.796703536247, 0.230612186565949, 7, 67.4618663636825, 105.795767941729, 7, 0.227337110481586, 1.23160041765267E-6, 1.0, -0.0996108949416342, 0.0605058365758755, 0.559770401796856, 0.981781881707013, 1.08879992999571E-4, 8.48797922080316E-5, 7.64872521246459, 1.41496080801194E-6, -0.440229598203145, 0.802944083224567, -0.0182181182929873, 0.900389105058366, 1.0, 8, -0.939494163424125, 5.64814814814815E-4, 3, 0.333805590663055, 12350.6388101983, 0.44133142347786, 3.98148148148148E-4, 3.05555555555556E-4, 7.03703703703704E-4, 1
140.2, 4, 34, 90.0957109916014, 177.646764931368, 0.246827522891988, 11, 46.1037532706207, 93.4888119455065, 7, 0.193295292439372, 2.7303562543063E-6, 1.00870069605568, -0.151972157772622, 0.0745359628770302, 0.394493290143452, 0.983572420175845, 1.52829195983753E-4, 1.89915981898154E-4, 7.70328102710414, 7.74176963246343E-7, -0.605506709856548, 0.9092230789447, -0.0164275798241555, 0.856728538283063, 1.00870069605568, 6, -0.934164733178654, 5.64814814814815E-4, 1, 0.296172236882937, 12442.7674750357, 0.1681385612032, 4.16666666666667E-4, 2.68518518518519E-4, 7.59259259259259E-4, 1
140.2, 3, 34, 67.2555820674686, 141.12659458764, 0.225308788507689, 11, 41.2574859635857, 84.959006568072, 8, 0.450071326676177, 4.39486186829603E-7, 1.0377969762419, -0.20479962721342, 0.114864864864865, 0.373290136789057, 1.0377969762419, 4.04609306952827E-5, 2.7178206708877E-5, 8.56633380884451, 2.26401975033432E-7, -0.664506839452844, 0.834157138496557, 0.0, 0.79520037278658, 0.963579604578564, 7, -0.885135135135135, 5.16236469608659E-4, 3, 0.31302945080003, 45081.0185449358, 0.486955051528761, 4.57951706910908E-4, 3.16402997502082E-4, 6.91090757701915E-4, 1
159.2, 4, 34, 56.2355315844518, 135.199741296952, 0.202070534580688, 10, 58.7650694559876, 100.537426208481, 8, 0.189070351758794, 3.52613705349228E-7, 1.0, -0.145083175405348, 0.0115813855548537, 0.530420798713482, 0.98686679174484, 3.09158389959366E-5, 2.42886913653063E-5, 7.28643216080402, 4.2860803839863E-7, -0.469579201286518, 0.857216462936818, -0.0131332082551595, 0.854916824594651, 1.0, 6, -0.988418614445146, 5.94827586206897E-4, 6, 0.326762662646048, 39702.608040201, 0.551740022922678, 4.05172413793103E-4, 2.67241379310345E-4, 7.32758620689655E-4, 1
152.2, 4, 35, 69.0483207049833, 154.794691099067, 0.227005748963788, 9, 47.2823638072537, 104.183015732337, 9, 0.164914586070959, 3.46972216116908E-7, 1.01765650080257, -0.118235561618918, 0.0768531150522965, 0.462279293739968, 1.01765650080257, 3.20484116337636E-5, 2.77199085618092E-5, 8.01576872536137, 1.62220776366347E-7, -0.5553772070626, 0.834927808479688, 0.0, 0.881764438381082, 0.982649842271293, 2, -0.923146884947703, 5.9016393442623E-4, 8, 0.325214126799856, 41530.4572930355, 0.47094062993686, 4.26229508196721E-4, 3.0327868852459E-4, 6.63934426229508E-4, 1
155.2, 4, 35, 65.3857448909519, 130.262134831518, 0.222551701709035, 8, 50.5652639956672, 99.5568274793741, 10, 0.206829896907217, 3.87001060932596E-7, 1.01247311827957, -0.19247311827957, 0.0524731182795699, 0.502043040043585, 0.97711795151185, 3.20395975043952E-5, 2.49824474168723E-5, 7.47422680412371, 2.4973960089739E-7, -0.497956959956415, 0.834958182302989, -0.0228820484881504, 0.82, 1.01247311827957, 2, -0.96, 6.20689655172414E-4, 2, 0.327093274935758, 40729.4458762887, 0.48535373875688, 3.96551724137931E-4, 2.75862068965517E-4, 7.41379310344828E-4, 1
155.2, 4, 37, 75.7739254688297, 151.847910403364, 0.203776422389241, 9, 51.7947876821858, 118.405498389327, 10, 0.161082474226804, 3.45554289894695E-7, 1.00614182021217, -0.139671361502347, 0.056924882629108, 0.668062534896706, 1.00614182021217, 3.518181805048E-5, 2.48034570136796E-5, 7.80283505154639, 1.57211636393532E-7, -0.338079285315466, 0.812159519669143, 0.0, 0.860328638497653, 0.993895671476138, 6, -0.943075117370892, 5.11973575557391E-4, 2, 0.309419160411439, 40736.4342783505, 0.451520999473397, 4.70685383980182E-4, 3.30305532617671E-4, 6.85383980181668E-4, 1
156.2, 4, 37, 71.7046475885968, 127.262385558275, 0.219872251156139, 10, 47.9089734271803, 102.479680514082, 10, 0.160051216389245, 3.64932424702212E-7, 1.0, -0.123310459555001, 0.0338947806196715, 0.573865465078854, 0.992275506919858, 3.67592778554644E-5, 2.37494440209873E-5, 7.56081946222791, 1.44771096625878E-7, -0.426134534921146, 0.809122625013546, -0.00772449308014162, 0.876689540444999, 1.0, 3, -0.966105219380329, 5.33446232006774E-4, 3, 0.322959311429177, 40480.5614596671, 0.52799860192904, 4.74174428450466E-4, 2.28619813717189E-4, 7.79000846740051E-4, 1
150.2, 4, 34, 51.6239871513197, 125.222379487106, 0.20223956337324, 8, 46.1299317065868, 93.0667177529069, 10, 0.193075898801598, 4.19974846914001E-7, 1.01588562351072, -0.158661119515885, 0.056732223903177, 0.625628805930633, 1.01588562351072, 2.66049742088575E-5, 1.93047061345284E-5, 7.25699067909454, 3.33289647195097E-7, -0.39025681758009, 0.74334596474797, 0.0, 0.841338880484115, 0.98436278342455, 5, -0.943267776096823, 6.3302752293578E-4, 4, 0.322312849078719, 42108.1757656458, 0.5268209650799, 3.57798165137615E-4, 2.47706422018349E-4, 7.52293577981651E-4, 1
