@relation USER17
@attribute a0 {367.5, 346.5, 387.6, 462.6, 372.5, 410.6, 396.5, 397.5, 377.5, 367.5, 447.6, 380.5, 414.5, 425.6, 385.6, 376.5, 418.6, 402.6, 407.5, 393.5, 392.5, 463.6, 432.6, 448.6, 477.7, 441.6, 444.6, 435.6, 623.9, 529.7, 553.8, 534.8, 517.8, 499.7, 483.6, 474.7, 612.8, 558.7, 539.8, 565.8}
@attribute a1 integer [5, 12]
@attribute a2 integer [44, 77]
@attribute a3 real [22.6648730468237, 1823.90334546434]
@attribute a4 real [90.4616172648605, 228.652704456989]
@attribute a5 real [0.194224737194761, 0.240626644432232]
@attribute a6 integer [9, 28]
@attribute a7 real [16.6622898092813, 1934.22118093142]
@attribute a8 real [62.7968436004288, 237.130416137819]
@attribute a9 integer [9, 17]
@attribute a10 real [0.0101910828025478, 0.316790074044427]
@attribute a11 real [5.51746274205039E-8, 1.36104034984795E-4]
@attribute a12 real [1.0, 1.0069970176646]
@attribute a13 real [-0.274752475247525, -0.114985278165194]
@attribute a14 real [0.0, 0.0560570071258907]
@attribute a15 real [0.771988051775639, 0.967056783701777]
@attribute a16 real [0.580791693705386, 0.769352041620684]
@attribute a17 real [5.29804597207481E-5, 0.0130564222140611]
@attribute a18 real [4.40246500529674E-5, 0.0111801114210359]
@attribute a19 real [5.37100949094047, 8.26429479034307]
@attribute a20 real [9.35438508504054E-8, 2.06564440458637E-4]
@attribute a21 real [-0.228011948224361, -0.0329432162982228]
@attribute a22 real [0.821405759958513, 1.02663105641166]
@attribute a23 real [-0.419208306294614, -0.230647958379316]
@attribute a24 real [0.725247524752475, 0.885014721834806]
@attribute a25 real [0.998157145250461, 1.0069970176646]
@attribute a26 integer [9, 67]
@attribute a27 real [-1.0069970176646, -0.943942992874109]
@attribute a28 real [4.16666666666667E-4, 6.84615384615385E-4]
@attribute a29 integer [9, 39]
@attribute a30 real [0.256628085766646, 0.305958090631031]
@attribute a31 real [63.8377911993097, 15013.1550452918]
@attribute a32 real [0.528960210820835, 0.83826538689307]
@attribute a33 real [2.23076923076923E-4, 4.90249187432286E-4]
@attribute a34 real [3.25301204819277E-4, 5.10298186289579E-4]
@attribute a35 real [4.31915595120343E-4, 6.30872483221477E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
387.6, 10, 61, 459.374033708729, 142.660794447779, 0.234964748648742, 18, 1606.97757730973, 198.218226481853, 12, 0.0802373581011352, 1.05739648982159E-7, 1.0, -0.233726294208098, 0.0079446437724244, 0.903424768706379, 0.622139263106639, 1.34358863309498E-4, 1.06071880682959E-4, 6.91692466460268, 3.59022994218495E-7, -0.0965752312936212, 0.924334504310618, -0.377860736893361, 0.766273705791902, 1.0, 20, -0.992055356227576, 5.96792241700858E-4, 10, 0.286603651853063, 6763.62383900929, 0.576616204872109, 3.72995151063036E-4, 3.87914957105558E-4, 6.1917195076464E-4, 1
397.5, 11, 58, 47.0906173360796, 160.654048609253, 0.232165957124771, 15, 47.1900610379205, 107.303662058476, 12, 0.0754716981132075, 8.41295892744712E-7, 1.0, -0.21373771277871, 0.0417166147206905, 0.880767473732298, 0.619460941068981, 1.20109817378143E-4, 9.45530053610966E-5, 6.6440251572327, 9.60321678213417E-7, -0.119232526267702, 0.86711495730583, -0.380539058931019, 0.78626228722129, 1.0, 19, -0.95828338527931, 5.9825823551685E-4, 16, 0.279018245482285, 6605.68452830189, 0.595666784961578, 3.67285119273003E-4, 4.12722453616055E-4, 5.64180234759561E-4, 1
367.5, 11, 58, 67.6452987171376, 185.022163369706, 0.227318043433039, 13, 46.2614938917961, 114.763161585747, 14, 0.0897959183673469, 7.89237808890519E-7, 1.0, -0.274752475247525, 0.044293903074518, 0.891603731674811, 0.681919147045757, 1.08559876826418E-4, 9.55061032059404E-5, 6.88707482993197, 5.41402384790318E-7, -0.108396268325189, 0.90311959215803, -0.318080852954243, 0.725247524752475, 1.0, 9, -0.955706096925482, 6.28210193599368E-4, 13, 0.263193041423056, 7152.94911564626, 0.559241852597643, 3.83247728170684E-4, 4.18806795732912E-4, 5.76847096009482E-4, 1
447.6, 8, 55, 1222.05609356923, 212.670309524675, 0.217477868773954, 12, 409.299957399465, 113.190496206479, 14, 0.0761840929401251, 5.27561725466276E-7, 1.0, -0.203921568627451, 0.0321315623023403, 0.923204087766757, 0.672377517282837, 9.22571783498897E-5, 7.76570859886358E-5, 6.37176050044683, 4.92551908444487E-7, -0.0767959122332432, 0.917505893207657, -0.327622482717163, 0.796078431372549, 1.0, 27, -0.96786843769766, 5.25946704067321E-4, 15, 0.285540402645106, 8388.59316353887, 0.567329044112303, 4.10238429172511E-4, 4.48807854137447E-4, 5.2945301542777E-4, 1
380.5, 8, 60, 46.8974322663586, 168.213061610608, 0.237191685713153, 14, 35.0036273734422, 106.013286755168, 14, 0.231537450722733, 5.3907821711757E-7, 1.00171863491284, -0.266265651853671, 0.0, 0.946153846153846, 0.672435897435897, 9.69468244338407E-5, 7.41358069199958E-5, 7.70039421813403, 5.13599395910521E-7, -0.0538461538461538, 0.968737716267844, -0.327564102564103, 0.73545298305917, 1.00171863491284, 19, -1.00171863491284, 5.42662116040956E-4, 15, 0.26924619739836, 9869.77739816032, 0.585203180735456, 4.2320819112628E-4, 4.50511945392492E-4, 5.2901023890785E-4, 1
414.5, 7, 59, 42.8825523578191, 148.958309128716, 0.220385506713009, 14, 29.4438204354968, 98.3372313749803, 13, 0.154402895054282, 5.96296739958576E-7, 1.0, -0.244490441982223, 0.00876658955314745, 0.959561034275406, 0.659651232711966, 1.07416600711287E-4, 8.70005147852772E-5, 7.94209891435464, 5.46730512203833E-7, -0.0404389657245941, 0.933663465388447, -0.340348767288034, 0.755509558017777, 1.0, 34, -0.991233410446853, 5.34629404617254E-4, 12, 0.27784586797329, 9061.52496984319, 0.59026333439471, 3.82746051032807E-4, 4.67800729040097E-4, 5.1640340218712E-4, 1
425.6, 8, 50, 38.0736435612062, 140.513123056735, 0.234626373330157, 14, 31.5580607141186, 92.5144321056061, 9, 0.15765977443609, 6.92595145406842E-7, 1.0, -0.233554309026007, 0.00675675675675676, 0.888160052476222, 0.61380780583798, 1.17505615137075E-4, 9.13499797432283E-5, 7.94407894736842, 5.88705873595815E-7, -0.111839947523778, 0.953507458114872, -0.38619219416202, 0.766445690973993, 1.0, 27, -0.993243243243243, 5.41259982253771E-4, 21, 0.281585509221334, 8826.69642857143, 0.579891486919219, 4.02247855664005E-4, 4.52528837622005E-4, 5.08725229222124E-4, 1
376.5, 9, 50, 535.185431044884, 178.772783457315, 0.222251491078994, 14, 1934.22118093142, 237.130416137819, 10, 0.159628154050465, 5.51746274205039E-8, 1.0, -0.243401409291771, 0.0304550340379792, 0.921006248998558, 0.649094696362762, 9.65732793277887E-5, 7.19830211733822E-5, 7.73705179282869, 1.95193257383858E-7, -0.0789937510014421, 0.90931351630906, -0.350905303637238, 0.756598590708229, 1.0, 15, -0.969544965962021, 5.6299347751459E-4, 17, 0.27564959460375, 9981.09375830013, 0.619274553494752, 4.22245108135942E-4, 4.84037075180227E-4, 4.94335736354274E-4, 1
418.6, 7, 54, 40.5789781621105, 149.8233546642, 0.227349184278976, 15, 25.2805088950723, 95.2175638705864, 12, 0.184185379837554, 5.53689220484313E-7, 1.0, -0.226273787599754, 0.00380601596071209, 0.929513267133323, 0.622334364317109, 1.11710653433781E-4, 8.42527371447163E-5, 7.77114190157668, 5.05888712241063E-7, -0.0704867328666775, 0.887816590480481, -0.377665635682891, 0.773726212400246, 1.0, 20, -0.996193984039288, 5.44113126344912E-4, 20, 0.275161564274321, 8978.75226946966, 0.56838645998777, 4.21149707961881E-4, 5.10298186289579E-4, 4.54964648017215E-4, 1
393.5, 5, 48, 589.548988123793, 173.571912789605, 0.222368674162993, 11, 191.199975995298, 109.145692251785, 11, 0.150190597204574, 5.66677683036919E-7, 1.0, -0.27046680741262, 0.0470326061459066, 0.927047289504037, 0.683391003460208, 1.0335397001396E-4, 8.40796547052343E-5, 8.26429479034307, 1.98592449280506E-7, -0.0729527104959631, 0.929554579258925, -0.316608996539792, 0.72953319258738, 1.0, 19, -0.952967393854093, 5.35055350553505E-4, 14, 0.274656193070566, 9555.74358322745, 0.597038644908717, 4.27429274292743E-4, 4.76629766297663E-4, 5.01230012300123E-4, 1
