@relation USER24
@attribute a0 {122.1, 118.1, 123.1, 113.2, 138.2, 121.1, 136.2, 137.2, 127.1, 112.1, 99.2, 111.2, 114.1, 110.1, 109.1, 124.2, 130.2, 122.2, 126.2, 159.1, 132.1, 153.1, 157.1, 192.1, 174.3, 177.2, 194.2, 167.1, 160.1, 190.3, 165.2, 135.2, 149.1, 154.2, 187.2, 215.2, 184.2, 188.2}
@attribute a1 integer [0, 4]
@attribute a2 integer [17, 29]
@attribute a3 real [20.4305473975238, 2379.67644060092]
@attribute a4 real [75.0742187975908, 294.25071382905]
@attribute a5 real [0.234869620543479, 0.332426243887181]
@attribute a6 integer [3, 8]
@attribute a7 real [17.8100771955273, 1422.0561256283]
@attribute a8 real [83.2241270146894, 232.157275728028]
@attribute a9 integer [5, 9]
@attribute a10 real [0.00892060660124889, 0.614783966684019]
@attribute a11 real [8.72746265715349E-8, 1.04121465852595E-6]
@attribute a12 real [1.0, 1.02265114053278]
@attribute a13 real [-0.953132397033297, -0.0199393842718137]
@attribute a14 real [0.0, 0.145785503443752]
@attribute a15 real [0.239081746920493, 0.986626293212213]
@attribute a16 real [0.540803274494756, 0.964720705585888]
@attribute a17 real [3.12625819591331E-5, 1.03452800942325E-4]
@attribute a18 real [1.70271971840814E-5, 6.16233872199255E-5]
@attribute a19 real [6.61114003123373, 10.0]
@attribute a20 real [2.59330318955418E-7, 1.74743366257069E-6]
@attribute a21 real [-0.760918253079507, -0.013373706787787]
@attribute a22 real [0.70626395019652, 0.902341967169276]
@attribute a23 real [-0.459196725505244, -0.0352792944141117]
@attribute a24 real [0.0468676029667035, 1.00271175626097]
@attribute a25 real [0.995264937993236, 1.02265114053278]
@attribute a26 integer [0, 14]
@attribute a27 real [-1.02265114053278, -0.854214496556248]
@attribute a28 real [6.05449041372351E-4, 7.64150943396226E-4]
@attribute a29 integer [2, 19]
@attribute a30 real [0.236274095079524, 0.277436945486343]
@attribute a31 real [13578.4500514933, 52934.525147929]
@attribute a32 real [0.546687687312687, 0.864927822526015]
@attribute a33 real [1.74110522331567E-4, 3.83451059535822E-4]
@attribute a34 real [3.06030603060306E-4, 5.33333333333333E-4]
@attribute a35 real [4.2962962962963E-4, 6.5546218487395E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
122.1, 1, 28, 66.1645278220779, 155.245160140181, 0.298051385056071, 5, 46.9003814006262, 167.149668908236, 8, 0.402129402129402, 2.75352424167443E-7, 1.0, -0.463801518438178, 0.0563991323210412, 0.250421788382743, 0.704748132080019, 5.23229335294317E-5, 2.94316501103054E-5, 9.82800982800983, 3.09771477188374E-7, -0.749578211617257, 0.892730673246474, -0.295251867919981, 0.536198481561822, 1.0, 4, -0.943600867678959, 6.66666666666667E-4, 6, 0.250430457935778, 33551.3808353808, 0.840337329542872, 3.08333333333333E-4, 4.33333333333333E-4, 5.25E-4, 1
118.1, 1, 23, 79.5042951509687, 166.838841498688, 0.315024709347256, 4, 48.2425488190476, 165.888322449219, 6, 0.441151566469094, 2.62586499801305E-7, 1.0, -0.498952074891714, 0.0136928880815984, 0.274592074592075, 0.625407925407925, 4.82779663993662E-5, 2.89384484914463E-5, 9.56816257408975, 2.61090280429217E-7, -0.725407925407925, 0.83331047762674, -0.374592074592075, 0.501047925108286, 1.0, 3, -0.986307111918402, 6.99115044247788E-4, 2, 0.249817327496125, 34698.8780694327, 0.751559452264721, 2.92035398230089E-4, 4.15929203539823E-4, 5.84070796460177E-4, 1
113.2, 1, 23, 53.7192201426327, 135.257523207191, 0.313065783191173, 4, 59.911697801298, 152.863255960562, 7, 0.460247349823322, 2.76408355212151E-7, 1.0, -0.533072236727589, 0.0438062082970699, 0.426867545511613, 0.651286880100439, 5.70322572921072E-5, 2.63569439705039E-5, 9.38162544169611, 5.81961809103135E-7, -0.573132454488387, 0.791348787377465, -0.348713119899561, 0.466927763272411, 1.0, 4, -0.95619379170293, 7.06214689265537E-4, 11, 0.24382258195364, 36205.3197879859, 0.728768332761073, 2.73069679849341E-4, 4.14312617702448E-4, 4.99058380414313E-4, 1
138.2, 2, 23, 53.2101663243319, 128.424572092778, 0.274478334807316, 4, 67.9448523382665, 145.570336912727, 7, 0.463820549927641, 2.91481701864904E-7, 1.0, -0.31983926179491, 0.131716029171008, 0.425246440306681, 0.699069003285871, 5.99533643632375E-5, 3.25866478128506E-5, 9.19681620839363, 7.11841676868424E-7, -0.574753559693319, 0.802308297907793, -0.300930996714129, 0.68016073820509, 1.0, 6, -0.868283970828992, 7.00236034618411E-4, 6, 0.273354638606386, 29657.6888567294, 0.708827237999979, 2.6750590086546E-4, 4.0912667191188E-4, 5.58615263571991E-4, 1
121.1, 1, 26, 51.7918051279932, 154.768755096975, 0.292425595632919, 4, 61.3124115148143, 160.434088489047, 8, 0.247729149463254, 2.7665106422358E-7, 1.0, -0.34284622244872, 0.0438272391387438, 0.986626293212213, 0.589957103204643, 5.43304853931022E-5, 2.74317382612898E-5, 9.75227085053675, 6.13848657654341E-7, -0.013373706787787, 0.782017970028187, -0.410042896795357, 0.65715377755128, 1.0, 10, -0.956172760861256, 6.68924640135478E-4, 5, 0.255143176346427, 33847.0421139554, 0.777751021076314, 2.62489415749365E-4, 4.57239627434378E-4, 5.16511430990686E-4, 1
136.2, 2, 21, 57.3767706019377, 144.240602186144, 0.291263083708863, 4, 52.3868345251967, 137.828134788489, 5, 0.228340675477239, 2.87947472902161E-7, 1.0, -0.463519910888332, 0.129768866610972, 0.289274106175515, 0.710455037919827, 6.22689529841853E-5, 3.20101607376235E-5, 9.62555066079295, 3.24140500919438E-7, -0.710725893824485, 0.79661838505458, -0.289544962080173, 0.536480089111668, 1.0, 3, -0.870231133389028, 7.09382151029748E-4, 3, 0.277436945486343, 30096.4625550661, 0.74267565282434, 2.82227307398932E-4, 4.1952707856598E-4, 5.720823798627E-4, 1
127.1, 1, 17, 40.6703761642321, 122.904615737851, 0.326365076580798, 3, 44.7471505738947, 153.756972515793, 5, 0.46498819826908, 2.93466792281412E-7, 1.0, -0.434887256143907, 0.0532049657968077, 0.528374655647383, 0.675757575757576, 5.87814793388133E-5, 2.70302470230418E-5, 9.36270653029111, 7.66274402068132E-7, -0.471625344352617, 0.76237779833456, -0.324242424242424, 0.565112743856093, 1.0, 0, -0.946795034203192, 7.05882352941176E-4, 3, 0.241395513676775, 32255.2627852085, 0.770185773566558, 3.02521008403361E-4, 3.27731092436975E-4, 6.5546218487395E-4, 1
109.1, 2, 21, 64.897968555426, 164.38909057541, 0.312732427623559, 4, 69.6525465873071, 169.926172370557, 6, 0.422548120989918, 3.02369878390314E-7, 1.02265114053278, -0.0199393842718137, 0.0, 0.320474777448071, 0.792037586547972, 4.81578613436285E-5, 3.03775372443665E-5, 8.89092575618698, 6.82903398813499E-7, -0.679525222551929, 0.877405362874013, -0.207962413452028, 1.00271175626097, 1.02265114053278, 4, -1.02265114053278, 6.70103092783505E-4, 2, 0.240673539773632, 33620.9037580202, 0.677505971244361, 3.09278350515464E-4, 4.5360824742268E-4, 5.4639175257732E-4, 1
122.2, 2, 23, 59.421960598616, 163.865012840715, 0.316115075288851, 4, 77.4451132117057, 151.029396702848, 7, 0.189034369885434, 3.49359059158556E-7, 1.0, -0.58828625888061, 0.034136198232542, 0.507988618953819, 0.9465966294594, 5.19046325010003E-5, 4.10937906596899E-5, 9.09165302782324, 7.49728397401478E-7, -0.492011381046181, 0.887754811496272, -0.0534033705405997, 0.41171374111939, 1.0, 6, -0.965863801767458, 6.66066606660666E-4, 7, 0.251190350145893, 30022.1816693944, 0.546687687312687, 2.97029702970297E-4, 3.06030603060306E-4, 6.48064806480648E-4, 1
123.1, 4, 22, 72.5208016458033, 159.447718751857, 0.332426243887181, 5, 109.118937642154, 164.529029179494, 6, 0.170593013809911, 3.12040199466785E-7, 1.0, -0.379661963961447, 0.00405084509009638, 0.291543026706231, 0.896884272997033, 5.2182627620029E-5, 2.94770982113978E-5, 8.61088545897644, 5.83817147389468E-7, -0.708456973293769, 0.812995058965084, -0.103115727002967, 0.620338036038553, 1.0, 4, -0.995949154909904, 7.64150943396226E-4, 8, 0.236274095079524, 29804.5808285946, 0.740108848250588, 2.45283018867925E-4, 3.77358490566038E-4, 5.94339622641509E-4, 1
132.1, 1, 21, 28.7498208105772, 97.850668232704, 0.311716867756124, 4, 28.7073332589408, 111.717474100044, 5, 0.507948523845572, 4.1861617094208E-7, 1.00181873294938, -0.560321309487724, 0.0, 0.354458161865569, 0.734156378600823, 5.12445913509893E-5, 2.8258174807013E-5, 8.70552611657835, 1.09745320490221E-6, -0.645541838134431, 0.773045109902858, -0.265843621399177, 0.441497423461655, 1.00181873294938, 9, -1.00181873294938, 6.78260869565217E-4, 6, 0.239567027506545, 33008.5987887964, 0.621406166701794, 2.52173913043478E-4, 3.73913043478261E-4, 5.82608695652174E-4, 2
153.1, 1, 26, 27.1494651192925, 86.2089461556086, 0.30921587045957, 4, 29.0306645278638, 105.758763855347, 6, 0.516655780535598, 4.06089247615557E-7, 1.0, -0.519641523525019, 0.0204630321135176, 0.421249640080622, 0.741145983299741, 6.25094476750005E-5, 3.24264842084058E-5, 8.62181580666231, 1.30528686733572E-6, -0.578750359919378, 0.758868562604106, -0.258854016700259, 0.480358476474981, 1.0, 11, -0.979536967886482, 6.89393939393939E-4, 7, 0.251043974533072, 28488.6453298498, 0.593632905470005, 2.34848484848485E-4, 4.01515151515152E-4, 5.53030303030303E-4, 2
