@relation USER27
@attribute a0 {452.6, 411.6, 390.6, 399.4, 421.6, 438.6, 420.6, 409.6, 393.6, 416.5, 408.4, 418.6, 439.6, 413.6, 424.6, 449.6, 427.6, 423.6, 479.7, 494.6, 511.6, 446.6, 412.6, 453.6, 479.6, 466.7, 443.5, 712.9, 719, 534.7, 549.7, 500.6, 468.7, 464.6, 401.6, 431.6, 384.6}
@attribute a1 integer [6, 13]
@attribute a2 integer [59, 98]
@attribute a3 real [20.5516780981202, 937.852174812405]
@attribute a4 real [63.9407567079818, 135.208731611982]
@attribute a5 real [0.207781015486302, 0.268372228126554]
@attribute a6 integer [15, 31]
@attribute a7 real [18.5001948309062, 764.814548504502]
@attribute a8 real [59.65140653227, 121.157148069761]
@attribute a9 integer [15, 22]
@attribute a10 real [0.0410476935105551, 0.14576802507837]
@attribute a11 real [1.37396589488482E-7, 1.11217326601429E-6]
@attribute a12 real [1.0, 1.01859384079024]
@attribute a13 real [-0.333179723502304, -0.019731054417494]
@attribute a14 real [0.0, 0.0408400046409096]
@attribute a15 real [0.112374147450471, 0.923897058823529]
@attribute a16 real [0.383924928600571, 0.682861400894188]
@attribute a17 real [1.13894285798278E-4, 2.49816545340084E-4]
@attribute a18 real [4.87451135882559E-5, 1.2759369166411E-4]
@attribute a19 real [5.89412406767328, 8.30473218928757]
@attribute a20 real [9.51982485169672E-8, 1.37841714543758E-6]
@attribute a21 real [-0.887625852549529, -0.0761029411764706]
@attribute a22 real [0.738830489232012, 0.843514060643607]
@attribute a23 real [-0.616075071399429, -0.317138599105812]
@attribute a24 real [0.666820276497696, 0.980268945582506]
@attribute a25 real [0.981745579007416, 1.00937981240375]
@attribute a26 integer [9, 80]
@attribute a27 real [-1.00937981240375, -0.95915999535909]
@attribute a28 real [4.00169383866187E-4, 5.71271628673441E-4]
@attribute a29 integer [10, 65]
@attribute a30 real [0.276479974493751, 0.331442089873983]
@attribute a31 real [6722.55380513815, 15248.6231635651]
@attribute a32 real [0.497502751397537, 0.7483137865614]
@attribute a33 real [3.9306716186939E-4, 4.70240052614272E-4]
@attribute a34 real [3.16964285714286E-4, 4.38321853475266E-4]
@attribute a35 real [5.35378835316218E-4, 6.35416666666667E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
390.6, 10, 81, 40.6786316275437, 95.0605095834511, 0.268372228126554, 21, 53.2708721744423, 110.243075783941, 19, 0.12826420890937, 5.84665369295991E-7, 1.0, -0.0536338435579125, 0.00952151380016874, 0.275502606105733, 0.529784065524944, 2.15933942784166E-4, 6.99046125489057E-5, 7.0942140296979, 7.52838113311322E-7, -0.724497393894267, 0.764766937004803, -0.470215934475056, 0.946366156442088, 1.0, 12, -0.990478486199831, 5.41320822807651E-4, 15, 0.308364257524487, 10334.8443420379, 0.675483930816962, 4.51100685673042E-4, 3.53662937567665E-4, 6.27932154456875E-4, 1
420.6, 9, 78, 38.5916153730697, 98.9552456878476, 0.23698591444391, 18, 45.0017489883209, 91.6698053815693, 19, 0.128625772705659, 6.20007147127766E-7, 1.0, -0.0410388337620973, 0.0165380374862183, 0.439936608557845, 0.583201267828843, 2.00197458329383E-4, 7.73763299067996E-5, 7.2301474084641, 8.22469045980698E-7, -0.560063391442155, 0.784155155480617, -0.416798732171157, 0.958961166237903, 1.0, 19, -0.983461962513782, 4.99835580401184E-4, 21, 0.325500304938995, 9604.43247741322, 0.676456506805894, 4.70240052614272E-4, 3.51857941466623E-4, 6.11640907596185E-4, 1
393.6, 9, 82, 48.1464009277855, 101.480023612618, 0.245374440022488, 22, 46.7040120246987, 105.182166909219, 19, 0.117123983739837, 6.87735161168604E-7, 1.0, -0.0389066732331938, 0.00381679389312977, 0.361867704280156, 0.583981841763943, 1.88163135890195E-4, 7.14473172968926E-5, 7.21798780487805, 7.70782425913493E-7, -0.638132295719844, 0.772007486263767, -0.416018158236057, 0.961093326766806, 1.0, 15, -0.99618320610687, 5.38542766631468E-4, 10, 0.329692163498387, 10266.1608231707, 0.697660835791257, 4.4350580781415E-4, 3.90707497360085E-4, 6.08940513903555E-4, 1
416.5, 9, 78, 45.9219611134651, 92.9137678136911, 0.247693953091984, 19, 44.3181041827859, 91.6166521904159, 19, 0.0528211284513806, 4.58404776010383E-7, 1.0, -0.224959612277868, 0.0107700592353258, 0.63551724137931, 0.656896551724138, 1.33386305582276E-4, 5.20759674459615E-5, 6.91476590636255, 5.59348100208454E-7, -0.36448275862069, 0.841083365009658, -0.343103448275862, 0.775040387722132, 1.0, 9, -0.989229940764674, 5.34722222222222E-4, 13, 0.307105815169127, 14949.0801920768, 0.625572280960594, 4.65277777777778E-4, 3.50694444444444E-4, 6.35416666666667E-4, 1
408.4, 8, 81, 42.8673976765583, 115.060749565645, 0.256084324371262, 21, 61.0638812216701, 112.746568431912, 19, 0.110186092066601, 3.16283375414049E-7, 1.0, -0.225561873815326, 0.00595721635526672, 0.620217729393468, 0.55303265940902, 1.1871398904499E-4, 5.16741774681345E-5, 7.05190989226249, 4.61493614710981E-7, -0.379782270606532, 0.818859781366152, -0.44696734059098, 0.774438126184674, 1.0, 15, -0.994042783644733, 5.24305555555556E-4, 15, 0.304871306852146, 15248.6231635651, 0.627668913574196, 4.51388888888889E-4, 3.95833333333333E-4, 5.79861111111111E-4, 1
418.6, 10, 88, 60.8871497327167, 111.441245886185, 0.242241183590392, 27, 61.8247776793982, 121.157148069761, 19, 0.114906832298137, 3.64436301822357E-7, 1.0, -0.0896896370331405, 0.00631246712256707, 0.346281240590184, 0.646793134598013, 1.19521060672339E-4, 5.22000844940608E-5, 6.97563306258958, 2.83788602462921E-7, -0.653718759409816, 0.843514060643607, -0.353206865401987, 0.91031036296686, 1.0, 21, -0.993687532877433, 4.93150684931507E-4, 17, 0.292196694507518, 14879.4221213569, 0.62806511466593, 4.69178082191781E-4, 3.5958904109589E-4, 6.16438356164384E-4, 1
439.6, 10, 80, 40.4061465079043, 101.534910542205, 0.254841532725962, 19, 54.0981870001086, 112.670217731414, 21, 0.066196542311192, 3.83226232551902E-7, 1.0, -0.273567942460827, 0.00410994091959928, 0.112374147450471, 0.638843780448197, 1.31671007280499E-4, 5.20697445949984E-5, 6.77888989990901, 4.57817628459907E-7, -0.887625852549529, 0.791115346367507, -0.361156219551803, 0.726432057539173, 1.0, 18, -0.995890059080401, 5.67114093959732E-4, 17, 0.295487140530394, 14170.2299818016, 0.611363094725596, 4.09395973154362E-4, 3.69127516778524E-4, 6.10738255033557E-4, 1
424.6, 11, 83, 41.3008031462745, 107.4238000058, 0.236538291152812, 22, 57.923011522627, 110.485639247156, 17, 0.0565237870937353, 3.53349035558339E-7, 1.00098765432099, -0.0498765432098765, 0.0, 0.370021283064761, 0.619337184554576, 1.21598372103861E-4, 4.93262266711395E-5, 6.71455487517664, 5.67933470107937E-7, -0.629978716935239, 0.800787734299502, -0.380662815445424, 0.951111111111111, 1.00098765432099, 16, -1.00098765432099, 5.57699052963872E-4, 14, 0.294239845766723, 14674.0817239755, 0.653519209358527, 4.2792002806033E-4, 4.06874780778674E-4, 5.85759382672746E-4, 1
449.6, 12, 86, 42.1120755312317, 107.258637363822, 0.244562326595323, 22, 50.9455802905171, 108.112902669979, 20, 0.0533807829181495, 3.84638539427551E-7, 1.0, -0.054625, 0.004125, 0.302456348031962, 0.662326131991714, 1.17295744570954E-4, 4.95427901131565E-5, 6.58585409252669, 4.55591995789833E-7, -0.697543651968038, 0.787956741050722, -0.337673868008286, 0.945375, 1.0, 19, -0.995875, 5.63998649105032E-4, 17, 0.293389900129302, 13861.7535587189, 0.667205658829721, 4.15400202634245E-4, 3.64741641337386E-4, 6.21411685241473E-4, 1
423.6, 12, 83, 51.2532840151452, 108.640113143279, 0.236657242801168, 24, 53.5929630074856, 107.46866030041, 17, 0.0472143531633617, 4.04528739205343E-7, 1.0, -0.0609323536863441, 0.00215353432987079, 0.345094398019189, 0.573506654286599, 1.20199122952014E-4, 4.91972848059232E-5, 6.80594900849858, 3.2616966139317E-7, -0.654905601980811, 0.785630824837604, -0.426493345713401, 0.939067646313656, 1.0, 27, -0.997846465670129, 5.06416926812348E-4, 11, 0.294583800604467, 14718.0472143532, 0.66436682051708, 4.40513354144988E-4, 4.0582726326743E-4, 5.96600763093999E-4, 1
