@relation USER33
@attribute a0{﻿333.5,292.2,270.3,255.3,239.2,234.2,230.3,223.2,229.3,222.3,316.4,258.2,303.4,320.3,278.2,266.2,271.4,250.3,262.2,243.2,323.4,297.4,329.4,317.3,322.4,686,437.6,287.4,283.4,253.4,360.3,476.7,751.9,392.4,368.4,321.4,310.4,259.3,328.4,349.4}
@attribute a1 integer[2,11]
@attribute a2 integer[38,109]
@attribute a3 real[33.1183281835925,100.312803593606]
@attribute a4 real[92.2865035195755,163.148920166134]
@attribute a5 real[0.192776943147165,0.272659843499836]
@attribute a6 integer[9,29]
@attribute a7 real[12.3333209958111,69.2958752790476]
@attribute a8 real[42.7078561570799,173.032190522935]
@attribute a9 integer[10,23]
@attribute a10 real[0.0730816077953715,0.205636743215031]
@attribute a11 real[1.02096145195287E-5,8.39678989385288E-5]
@attribute a12 integer[1,1]
@attribute a13 real[-0.467554479418886,-0.110158672259712]
@attribute a14 real[0.0,0.104854368932039]
@attribute a15 real[0.145257452574526,0.838360175695461]
@attribute a16 real[0.316611842105263,0.728970418112709]
@attribute a17 real[0.00212249284300511,0.0174957099194971]
@attribute a18 real[0.00210740454694858,0.0146435790948848]
@attribute a19 real[5.34645564569757,9.1801878736123]
@attribute a20 real[9.61382411447682E-6,8.23406140753791E-5]
@attribute a21 real[-0.854742547425474,-0.161639824304539]
@attribute a22 real[0.875432265562267,1.51481466870039]
@attribute a23 real[-0.683388157894737,-0.271029581887291]
@attribute a24 real[0.532445520581114,0.889841327740288]
@attribute a25 integer[1,1]
@attribute a26 integer[5,63]
@attribute a27 real[-1.0,-0.895145631067961]
@attribute a28 real[4.57142857142857E-4,6.19718309859155E-4]
@attribute a29 integer[3,59]
@attribute a30 real[0.141547317846959,0.234184205534309]
@attribute a31 real[82.6800291545189,478.609952925353]
@attribute a32 real[0.332527121451181,0.535682961057186]
@attribute a33 real[3.30882352941177E-4,5.0E-4]
@attribute a34 real[3.83966244725738E-4,4.88479262672811E-4]
@attribute a35 real[4.19211549139367E-4,5.72881355932203E-4]
@attribute a36 integer[1,2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
﻿333.5,6,60,33.2611710084735,98.300835201064,0.229805520505091,16,33.4973070465776,97.1372695532849,13,0.108245877061469,8.39678989385288E-5,1,-0.168301886792453,0.0369811320754717,0.383228133453562,0.445145776976255,0.0174957099194971,0.0146435790948848,8.21589205397301,8.23406140753791E-5,-0.616771866546438,1.11142965159222,-0.554854223023745,0.831698113207547,1,14,-0.963018867924528,5.29197080291971E-4,18,0.214592409065956,114.611394302849,0.359737822080991,4.41605839416058E-4,4.67153284671533E-4,4.89051094890511E-4,1
292.2,2,54,38.3888335221251,118.417684766184,0.248088737534091,15,35.7204417772609,124.488958473779,13,0.116700889801506,6.19675190933743E-5,1,-0.431826886250479,0.0264266564534661,0.838360175695461,0.514787701317716,0.016666450054724,0.0108992583180548,9.13757700205339,7.25062128167372E-5,-0.161639824304539,0.988965338347135,-0.485212298682284,0.568173113749521,1,15,-0.973573343546534,4.9812734082397E-4,15,0.210277482642085,135.530116358658,0.422821469389515,4.53183520599251E-4,4.60674157303371E-4,4.9063670411985E-4,1
270.3,5,54,49.0946763958615,120.843102965401,0.239888447476437,15,59.4870284565703,152.627158663843,12,0.110987791342952,4.60288147695028E-5,1,-0.331199669626265,0.0051620896138757,0.341207349081365,0.432779235928842,0.0132300961903826,0.00936733426322981,8.13910469848317,5.57321865317223E-5,-0.658792650918635,1.1005832829925,-0.567220764071158,0.668800330373735,1,11,-0.994837910386124,5.22727272727273E-4,3,0.190343755754275,148.804291527932,0.419620679431117,4.5E-4,4.77272727272727E-4,5.31818181818182E-4,1
255.3,5,56,66.1807432661704,138.665275725167,0.240087438145645,16,56.4234645623094,145.337160101285,13,0.105757931844888,5.08008350424587E-5,1,-0.336717778698715,0.0256941566514712,0.314564780235565,0.460212582591209,0.0126720428279425,0.00914036077166759,8.46063454759107,3.11309995229701E-5,-0.685435219764436,1.12426699375979,-0.539787417408791,0.663282221301285,1,9,-0.974305843348529,5.50925925925926E-4,3,0.19231128073216,160.508813160987,0.439536332892497,4.30555555555556E-4,4.53703703703704E-4,5.55555555555556E-4,1
239.2,3,44,49.1124455108673,141.017744584188,0.244445644534142,13,48.7779724527911,150.142634269249,10,0.12123745819398,4.93427961479038E-5,1,-0.300503095975232,0.0,0.67088251826869,0.542158516020236,0.0117365959471532,0.00808026477940615,9.07190635451505,6.14814392897204E-5,-0.32911748173131,1.11692449620217,-0.457841483979764,0.699496904024768,1,17,-1.0,5.16129032258065E-4,15,0.191044272989694,174.330685618729,0.446109836075838,4.19354838709677E-4,4.56221198156682E-4,4.88479262672811E-4,1
234.2,2,54,59.5277954607666,163.148920166134,0.238101181189727,16,63.5281064040831,169.935680874989,10,0.124252775405636,4.08784232605138E-5,1,-0.383597883597884,0.0277777777777778,0.762876083630801,0.545894951555329,0.0109356557075296,0.00810461861015326,9.1801878736123,5.69962015746592E-5,-0.237123916369199,1.08942442556804,-0.454105048444671,0.616402116402116,1,14,-0.972222222222222,4.93023255813954E-4,8,0.20041769356746,181.760034158839,0.438766162925046,4.51162790697674E-4,4.46511627906977E-4,5.25581395348837E-4,1
230.3,4,46,55.8963561228411,153.102786664161,0.263095642024066,12,59.9633559044861,169.639365908128,10,0.108554059921841,4.17956211043953E-5,1,-0.110158672259712,0.0361116177275214,0.367102396514161,0.466230936819172,0.0104004168921378,0.00696522539265551,8.42379504993487,6.24944048894292E-5,-0.632897603485839,1.11582865355049,-0.533769063180828,0.889841327740288,1,8,-0.963888382272479,5.51546391752577E-4,7,0.191779146620491,187.19452887538,0.477338174533617,4.27835051546392E-4,4.63917525773196E-4,5.20618556701031E-4,1
223.2,3,49,60.7871059916298,156.987560667546,0.253844153797604,13,67.2319067837497,172.655798371348,11,0.116935483870968,4.07598724158E-5,1,-0.374947279628849,0.0529312526360186,0.584474885844749,0.513295729250604,0.00979550713077211,0.00769056791393179,8.60215053763441,5.7383989564238E-5,-0.415525114155251,1.03149490492938,-0.486704270749396,0.625052720371151,1,9,-0.947068747363981,5.26041666666667E-4,7,0.2052651429853,195.648297491039,0.38868755806146,4.42708333333333E-4,4.375E-4,5.41666666666667E-4,1
229.3,4,54,55.5598238552508,142.103650846417,0.263268822228753,15,69.2958752790476,168.021653943397,11,0.109027474923681,3.86361595594031E-5,1,-0.256551724137931,0.00551724137931034,0.392212997423418,0.513598625823075,0.0105682561268342,0.0072738755962624,8.59136502398604,5.98675315856566E-5,-0.607787002576582,1.10850103909938,-0.486401374176925,0.743448275862069,1,12,-0.99448275862069,5.0253807106599E-4,6,0.187263572227914,192.845617095508,0.406093989389976,4.56852791878173E-4,4.77157360406091E-4,5.12690355329949E-4,1
222.3,4,49,64.8070839997304,156.550209452098,0.241895773385147,14,63.4924417991616,173.032190522935,11,0.117408906882591,4.16610774128739E-5,1,-0.341343191620456,0.0174573834462929,0.517196793379881,0.52236876131368,0.00875690637257103,0.00695480734087743,8.36707152496626,3.64847511611742E-5,-0.482803206620119,1.12445207431459,-0.47763123868632,0.658656808379544,1,8,-0.982542616553707,5.16129032258065E-4,10,0.211540433914152,201.359874044085,0.426577369568506,4.62365591397849E-4,4.40860215053763E-4,5.26881720430107E-4,1
