@relation USER37
@attribute a0 {188.1, 191.1, 187.1, 191, 176.1, 183.1, 194.1, 193.1, 193, 188.1, 172.1, 200.1, 185, 195.1, 194, 198, 204, 211.1, 201.1, 210, 218.1, 225.1, 237.1, 243.1, 263.1, 675.4, 442.1, 303.1, 341, 323.1, 363.2, 370.1, 312.1, 289.1, 308.1, 219, 237, 274.1, 223.1}
@attribute a1 integer [1, 2]
@attribute a2 integer [27, 56]
@attribute a3 real [13.0064187929509, 115.379167369594]
@attribute a4 real [62.119756170125, 191.849032639013]
@attribute a5 real [0.207254064954639, 0.297402021540921]
@attribute a6 integer [4, 12]
@attribute a7 real [11.7337953487047, 141.160934952517]
@attribute a8 real [107.466262787166, 326.324543856183]
@attribute a9 integer [7, 14]
@attribute a10 real [0.0318979266347687, 0.421083802191294]
@attribute a11 real [4.09285181169574E-6, 2.80081912041244E-5]
@attribute a12 integer [1, 1]
@attribute a13 real [-0.886173691860465, -0.548164650965415]
@attribute a14 real [0.0, 0.187990664120518]
@attribute a15 real [0.325406169060513, 1.0]
@attribute a16 real [0.573617952928298, 0.957267950963222]
@attribute a17 real [0.00139175452961379, 0.00922738658705211]
@attribute a18 real [7.73313332497243E-4, 0.00382839253095685]
@attribute a19 real [6.57388214391472, 9.74683544303798]
@attribute a20 real [1.26130536906029E-5, 8.21257131917545E-5]
@attribute a21 real [-0.674593830939487, 0.0]
@attribute a22 real [0.560923530959199, 0.72395022046997]
@attribute a23 real [-0.426382047071702, -0.0427320490367776]
@attribute a24 real [0.113826308139535, 0.451835349034585]
@attribute a25 integer [1, 1]
@attribute a26 integer [1, 78]
@attribute a27 real [-1.0, -0.812009335879482]
@attribute a28 real [3.53448275862069E-4, 6.66666666666667E-4]
@attribute a29 integer [3, 69]
@attribute a30 real [0.211860757780167, 0.333220479604435]
@attribute a31 real [121.966834468463, 820.287904599659]
@attribute a32 real [0.503519438236724, 0.867121951768938]
@attribute a33 real [2.8110599078341E-4, 4.67213114754098E-4]
@attribute a34 real [3.88625592417062E-4, 5.61475409836066E-4]
@attribute a35 real [3.07471264367816E-4, 5.55E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
188.1, 2, 27, 48.2731665345815, 155.804718504385, 0.235289827100849, 5, 63.1471870988548, 309.531575032499, 9, 0.0318979266347687, 5.71615952927043E-6, 1, -0.742922454721294, 0.0898540531035695, 0.866794136392607, 0.887348629700446, 0.00143740099520459, 7.9313598082504E-4, 9.25039872408293, 1.92869328176013E-5, -0.133205863607393, 0.584307146416207, -0.112651370299554, 0.257077545278706, 1, 4, -0.91014594689643, 6.20689655172414E-4, 6, 0.280516175414179, 751.399255715045, 0.838166567533776, 3.67816091954023E-4, 5.0E-4, 4.77011494252874E-4, 1
191.1, 1, 29, 42.4134387762516, 137.173241577852, 0.245720708738385, 6, 57.5026039993477, 276.094368222241, 9, 0.215070643642072, 5.84406338078083E-6, 1, -0.707260933249634, 0.0388156518100021, 0.768339768339768, 0.915897263723351, 0.00156809650962566, 9.77312294187076E-4, 9.41915227629513, 1.62172758816668E-5, -0.231660231660232, 0.682325232061877, -0.0841027362766493, 0.292739066750366, 1, 3, -0.961184348189998, 6.0E-4, 7, 0.304686342901366, 745.404500261643, 0.75110926344907, 3.88888888888889E-4, 4.44444444444444E-4, 5.22222222222222E-4, 1
191, 1, 33, 42.1293798968389, 135.11931092879, 0.235403233998431, 6, 55.6352365623401, 288.976956858662, 8, 0.214659685863874, 5.68311991488576E-6, 1, -0.776391733382983, 0.0163842859802644, 0.876501766784452, 0.89434628975265, 0.00169845962756626, 8.94924733943866E-4, 9.3717277486911, 2.58199438440723E-5, -0.123498233215548, 0.613994254964147, -0.10565371024735, 0.223608266617017, 1, 9, -0.983615714019736, 6.08938547486034E-4, 5, 0.302246141641345, 753.968586387435, 0.741088222417224, 3.46368715083799E-4, 4.86033519553073E-4, 4.91620111731844E-4, 1
176.1, 1, 29, 49.4182778017013, 151.866826985328, 0.250062438006839, 5, 67.2932301819152, 299.548730031188, 8, 0.222032935831914, 5.67091087584771E-6, 1, -0.805007085498347, 0.0176665092111479, 0.860069444444444, 0.927777777777778, 0.00148477442567117, 8.07964165504576E-4, 9.36967632027257, 1.51555922237568E-5, -0.139930555555556, 0.615787399697009, -0.0722222222222222, 0.194992914501653, 1, 6, -0.982333490788852, 5.93939393939394E-4, 7, 0.310340664452663, 820.287904599659, 0.757032003048218, 3.75757575757576E-4, 4.42424242424242E-4, 5.21212121212121E-4, 1
183.1, 1, 33, 49.8144588259496, 145.570448623263, 0.243867512265979, 6, 58.881242609521, 299.000575145491, 9, 0.273620972146368, 5.10839823082241E-6, 1, -0.700373455903476, 0.0231734176003064, 0.977265184201792, 0.92864254895453, 0.00139175452961379, 8.03094206210158E-4, 9.01146914254506, 1.92532433320769E-5, -0.0227348157982078, 0.611412850225957, -0.0713574510454696, 0.299626544096524, 1, 1, -0.976826582399694, 5.75757575757576E-4, 6, 0.297637717183492, 792.482796286183, 0.761218556582675, 4.24242424242424E-4, 4.54545454545455E-4, 5.15151515151515E-4, 1
194.1, 1, 29, 47.3077232608033, 151.927550294486, 0.229960726741336, 5, 52.7579595006653, 289.591821263217, 8, 0.247810407006698, 5.36634763599005E-6, 1, -0.751979377646842, 0.0304732093537102, 0.90673828125, 0.919108072916667, 0.00150495306489523, 8.51264189902071E-4, 9.17053065430191, 2.40491875538813E-5, -0.09326171875, 0.602702531660422, -0.0808919270833333, 0.248020622353158, 1, 5, -0.96952679064629, 5.84269662921348E-4, 4, 0.29753986370326, 750.130345182895, 0.758498866420412, 3.93258426966292E-4, 4.71910112359551E-4, 5.1123595505618E-4, 1
193, 1, 28, 48.1910927729956, 150.508483830566, 0.241277003267754, 5, 54.7281293268225, 286.262118243961, 8, 0.22279792746114, 6.12082329925763E-6, 1, -0.770169802661771, 0.0, 0.866026200873362, 0.891353711790393, 0.00162745474836034, 8.55179296407798E-4, 9.37823834196891, 2.37217161044962E-5, -0.133973799126638, 0.596293659849956, -0.108646288209607, 0.229830197338229, 1, 9, -1.0, 6.29834254143646E-4, 9, 0.290984467567675, 759.50621761658, 0.744187479207994, 3.25966850828729E-4, 4.64088397790055E-4, 4.9171270718232E-4, 1
194, 1, 31, 55.9396592154512, 141.301186505987, 0.225345854628637, 6, 62.2929939561018, 266.517747179806, 8, 0.170103092783505, 1.10323770824688E-5, 1, -0.841396088705904, 0.0, 0.870403111739745, 0.955445544554455, 0.00259093113130186, 0.00137122733027447, 9.5360824742268, 2.56351027353158E-5, -0.129596888260255, 0.602536943238725, -0.0445544554455446, 0.158603911294096, 1, 11, -1.0, 6.27027027027027E-4, 11, 0.313691575643553, 495.24793814433, 0.741541681199861, 3.18918918918919E-4, 4.97297297297297E-4, 4.48648648648649E-4, 1
211.1, 1, 29, 41.5071023248769, 137.567802306227, 0.235333936698223, 5, 47.7756728613803, 267.334685442415, 9, 0.208905731880625, 8.82963104179455E-6, 1, -0.735167508890137, 0.0703724499344937, 0.911910442282988, 0.934483391447972, 0.002758072747957, 0.00140639513415849, 9.3320701089531, 3.43639694599572E-5, -0.0880895577170123, 0.614428875339504, -0.0655166085520279, 0.264832491109863, 1, 11, -0.929627550065506, 6.24365482233503E-4, 10, 0.302453881155975, 461.577925153956, 0.867121951768938, 3.24873096446701E-4, 4.9238578680203E-4, 4.61928934010152E-4, 1
201.1, 1, 31, 43.2874582865003, 146.507938444943, 0.230878137820688, 6, 54.1738057357314, 270.345861272346, 9, 0.239184485330681, 9.14331097147132E-6, 1, -0.752750434279097, 0.0060799073537927, 0.978809106830123, 0.957267950963222, 0.00246609988808118, 0.00135894907941937, 9.14967677772253, 2.93216524257529E-5, -0.0211908931698774, 0.637364234133253, -0.0427320490367776, 0.247249565720903, 1, 8, -0.993920092646207, 5.92391304347826E-4, 8, 0.316054388107252, 486.791148682248, 0.777612732413025, 3.69565217391304E-4, 4.94565217391304E-4, 4.67391304347826E-4, 1
